fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.855072463768116,0.8452611218568666,0.782608695652174,0.8448272459119693,0.03700089454650879,1,[np.int64(8)]
2,0.8260869565217391,0.8405172413793103,0.8181818181818182,0.8356290217967334,0.03699970245361328,1,[np.int64(8)]
3,0.8695652173913043,0.8807692307692309,0.8656716417910447,0.876570629428153,0.037000179290771484,1,[np.int64(8)]
4,0.855072463768116,0.8655172413793103,0.84375,0.8630339426736915,0.03699946403503418,1,[np.int64(8)]
5,0.8695652173913043,0.8705882352941177,0.8767123287671232,0.8677218312746247,0.051999568939208984,1,[np.int64(8)]
6,0.8840579710144928,0.8952586206896552,0.875,0.8924974644994411,0.039998769760131836,1,[np.int64(8)]
7,0.8840579710144928,0.8855574324324325,0.8787878787878788,0.8853156407653622,0.07699990272521973,1,[np.int64(8)]
8,0.8115942028985508,0.8055555555555556,0.8395061728395061,0.7934920476158722,0.03500056266784668,1,[np.int64(8)]
9,0.8405797101449275,0.8397435897435898,0.819672131147541,0.8397191227596316,0.03500008583068848,1,[np.int64(8)]
10,0.855072463768116,0.8497474747474748,0.875,0.8408749651825217,0.03499913215637207,1,[np.int64(8)]
