fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6129032258064516,0.6029411764705881,0.6087675765095119,0.5940885257860046,0.01800060272216797,5,"[np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(13)]"
2,0.8064516129032258,0.8309523809523808,0.8123938879456706,0.828078671210825,0.01900005340576172,5,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(13)]"
3,0.6,0.6071428571428572,0.5964285714285714,0.5976143046671968,0.01900029182434082,5,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(13)]"
4,0.7333333333333333,0.7083333333333335,0.7282296650717704,0.6972166887783964,0.018000364303588867,5,"[np.int64(2), np.int64(3), np.int64(9), np.int64(11), np.int64(13)]"
5,0.6333333333333333,0.6250000000000001,0.6354285714285715,0.6236095644623235,0.018000125885009766,5,"[np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(13)]"
6,0.6333333333333333,0.611111111111111,0.6303172737955347,0.6009252125773316,0.01699995994567871,5,"[np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(13)]"
7,0.8666666666666667,0.8755980861244019,0.8685185185185186,0.8749572785196141,0.018999814987182617,5,"[np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(13)]"
8,0.7333333333333333,0.75,0.7357142857142857,0.7453559924999299,0.017000198364257812,5,"[np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(13)]"
9,0.7333333333333333,0.7386363636363636,0.7466666666666667,0.7385489458759964,0.018000125885009766,5,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(13)]"
10,0.6666666666666666,0.6666666666666667,0.669683257918552,0.6666666666666666,0.01799941062927246,5,"[np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(13)]"
