fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8709677419354839,0.8675213675213674,0.8709677419354839,0.8672581807839879,0.0220034122467041,6,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
2,0.8387096774193549,0.834033613445378,0.8380269670592251,0.8326327587384307,0.020999908447265625,6,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
3,0.6451612903225806,0.6517094017094017,0.6473859844271413,0.6504436355879909,0.018999814987182617,6,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
4,0.7666666666666667,0.7669683257918551,0.7674523007856341,0.7669649888473704,0.01900005340576172,5,"[np.int64(3), np.int64(9), np.int64(10), np.int64(12), np.int64(13)]"
5,0.8,0.8,0.7991071428571428,0.7972173828734265,0.018000125885009766,6,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
6,0.8333333333333334,0.868421052631579,0.8361391694725028,0.8583950752789521,0.01900005340576172,6,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
7,0.7333333333333333,0.6805555555555556,0.7079365079365079,0.6273105439242341,0.019999980926513672,6,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
8,0.8,0.8333333333333333,0.8,0.816496580927726,0.019000530242919922,6,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
9,0.8,0.7777777777777777,0.7961722488038276,0.769800358919501,0.019999265670776367,6,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
10,0.8333333333333334,0.8257918552036198,0.8323809523809523,0.8238525545716346,0.01900005340576172,6,"[np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
