fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7741935483870968,0.7815126050420168,0.7741935483870968,0.7778444682625972,0.27915310859680176,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
2,0.9354838709677419,0.9285714285714286,0.9347945960849187,0.9258200997725514,0.26993274688720703,4,"[3, 10, 12, 13]"
3,0.6451612903225806,0.6449579831932772,0.6459028550241008,0.6449545616201361,0.30712437629699707,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
4,0.7666666666666667,0.748868778280543,0.7609087348217783,0.7368761261836121,0.26570582389831543,5,"[3, 9, 10, 12, 13]"
5,0.8,0.8035714285714285,0.8,0.8017837257372731,0.3136279582977295,7,"[2, 3, 7, 9, 10, 12, 13]"
6,0.8,0.7946428571428571,0.7981900452488688,0.7905694150420949,0.2607841491699219,6,"[3, 9, 10, 11, 12, 13]"
7,0.8666666666666667,0.8616071428571428,0.8654600301659126,0.858258202906994,0.27860045433044434,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
8,0.6666666666666666,0.6651785714285714,0.6666666666666666,0.6648039453209388,0.27294278144836426,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
9,0.8666666666666667,0.8571428571428572,0.8629629629629629,0.8451542547285166,0.2855715751647949,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
10,0.7666666666666667,0.7633928571428572,0.7658810325476992,0.7618117502750551,0.30642008781433105,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
