fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8387096774193549,0.8290598290598289,0.8376634699215345,0.826898230594723,0.017000436782836914,4,"[np.int64(9), np.int64(10), np.int64(12), np.int64(13)]"
2,0.9032258064516129,0.9054621848739496,0.9034280513702093,0.9051672392947266,0.017000198364257812,4,"[np.int64(3), np.int64(9), np.int64(12), np.int64(13)]"
3,0.6129032258064516,0.6346153846153846,0.6104838709677418,0.6201736729460423,0.018657207489013672,3,"[np.int64(9), np.int64(12), np.int64(13)]"
4,0.8,0.7963800904977375,0.8,0.7959171834405434,0.017999649047851562,3,"[np.int64(10), np.int64(12), np.int64(13)]"
5,0.8,0.8,0.7991071428571428,0.7972173828734265,0.017999649047851562,4,"[np.int64(3), np.int64(10), np.int64(12), np.int64(13)]"
6,0.8666666666666667,0.8947368421052632,0.869079939668175,0.8885233166386386,0.01699972152709961,4,"[np.int64(9), np.int64(10), np.int64(12), np.int64(13)]"
7,0.7666666666666667,0.7361111111111112,0.7589743589743588,0.7200822998230956,0.01699995994567871,4,"[np.int64(9), np.int64(10), np.int64(12), np.int64(13)]"
8,0.8333333333333334,0.8611111111111112,0.8342602892102337,0.8498365855987975,0.043999433517456055,4,"[np.int64(9), np.int64(10), np.int64(12), np.int64(13)]"
9,0.8333333333333334,0.8055555555555555,0.8278388278388279,0.7934920476158722,0.01699972152709961,4,"[np.int64(9), np.int64(10), np.int64(12), np.int64(13)]"
10,0.8333333333333334,0.8348416289592759,0.8338945005611672,0.8347649844031075,0.01699995994567871,3,"[np.int64(9), np.int64(12), np.int64(13)]"
