fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8387096774193549,0.8403361344537814,0.8390467522836822,0.8401680504168059,0.25812768936157227,8,"[2, 3, 4, 9, 10, 11, 12, 13]"
2,0.9354838709677419,0.9348739495798319,0.9354838709677419,0.9348527048856053,0.273939847946167,6,"[3, 9, 10, 11, 12, 13]"
3,0.8387096774193549,0.834033613445378,0.8380269670592251,0.8326327587384307,0.31246519088745117,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
4,0.8,0.7873303167420814,0.7972222222222223,0.7815751585783591,0.26776599884033203,6,"[3, 9, 10, 11, 12, 13]"
5,0.8,0.8035714285714285,0.8,0.8017837257372731,0.3170435428619385,6,"[3, 9, 10, 11, 12, 13]"
6,0.7666666666666667,0.7589285714285714,0.7626666666666667,0.75,0.26017141342163086,4,"[3, 9, 12, 13]"
7,0.9,0.8973214285714286,0.8996632996632996,0.8964214570007952,0.2603170871734619,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
8,0.7,0.7008928571428572,0.7003337041156841,0.7007648882267351,0.2884337902069092,3,"[10, 12, 13]"
9,0.8,0.7991071428571428,0.8,0.7989949043284676,0.26607584953308105,3,"[10, 12, 13]"
10,0.7666666666666667,0.7633928571428572,0.7658810325476992,0.7618117502750551,0.2945537567138672,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
