fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8387096774193549,0.8290598290598289,0.8376634699215345,0.826898230594723,0.2674746513366699,6,"[3, 9, 10, 11, 12, 13]"
2,0.7096774193548387,0.717948717948718,0.7114976236222066,0.7161148740394329,0.3105285167694092,6,"[2, 3, 9, 10, 12, 13]"
3,0.7741935483870968,0.7735042735042735,0.7751493428912785,0.7734924681537619,0.2803966999053955,6,"[2, 3, 9, 10, 12, 13]"
4,0.8333333333333334,0.8472222222222222,0.8350168350168351,0.8443713418650368,0.2656538486480713,6,"[3, 9, 10, 11, 12, 13]"
5,0.6666666666666666,0.638888888888889,0.6602870813397128,0.6236095644623235,0.3271796703338623,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
6,0.7666666666666667,0.75,0.7647473560517039,0.7453559924999299,0.2580392360687256,3,"[3, 9, 13]"
7,0.8,0.7916666666666667,0.8,0.7905694150420949,0.3047158718109131,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
8,0.7666666666666667,0.7916666666666667,0.7679644048943269,0.7817359599705715,0.2755930423736572,9,"[1, 2, 3, 4, 9, 10, 11, 12, 13]"
9,0.7666666666666667,0.7777777777777779,0.769023569023569,0.775791113542719,0.2739429473876953,6,"[2, 3, 9, 10, 12, 13]"
10,0.8,0.7963800904977375,0.8,0.7959171834405434,0.31055378913879395,6,"[2, 3, 9, 10, 12, 13]"
