fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7096774193548387,0.7393162393162394,0.7054302760643139,0.716114874039433,0.27900028228759766,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
2,0.9032258064516129,0.9054621848739496,0.9034280513702093,0.9051672392947266,0.30570363998413086,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
3,0.6774193548387096,0.7236842105263158,0.7030414746543778,0.0,0.27365636825561523,5,"[2, 3, 9, 12, 13]"
4,0.8,0.8229665071770336,0.8036199095022625,0.8184475910711347,0.3115730285644531,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
5,0.8,0.8,0.7991071428571428,0.7972173828734265,0.29262399673461914,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
6,0.8,0.85,0.8054298642533937,0.8366600265340756,0.30899977684020996,6,"[2, 3, 9, 10, 12, 13]"
7,0.8,0.7777777777777777,0.7961722488038276,0.769800358919501,0.2726280689239502,6,"[3, 9, 10, 11, 12, 13]"
8,0.7666666666666667,0.7760180995475114,0.7674453096032628,0.7728422011467174,0.30699968338012695,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
9,0.7333333333333333,0.7142857142857142,0.74,0.7126966450997984,0.27299952507019043,5,"[3, 9, 11, 12, 13]"
10,0.7666666666666667,0.7775119617224882,0.7706666666666667,0.7764475599788625,0.3040001392364502,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
