fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6623376623376623,0.6253846153846154,0.6655207537560479,0.6164414002968976,0.5812358856201172,4,"[1, 2, 6, 8]"
2,0.5844155844155844,0.5573076923076923,0.5939570633448183,0.5519197266046799,0.5739865303039551,2,"[2, 8]"
3,0.6753246753246753,0.7180769230769231,0.6847936760443194,0.7076505004373492,0.5791466236114502,4,"[1, 2, 6, 8]"
4,0.6753246753246753,0.7076923076923077,0.6854269326179439,0.7016464154456233,0.6225390434265137,5,"[1, 2, 6, 7, 8]"
5,0.6623376623376623,0.6979638009049773,0.6706521932240126,0.6892845001680697,0.5646843910217285,4,"[1, 2, 6, 8]"
6,0.5584415584415584,0.5629713423831071,0.570400432900433,0.5627984376737055,0.5806057453155518,4,"[1, 2, 6, 8]"
7,0.7012987012987013,0.6802413273001509,0.7049193231011412,0.677142429837753,0.5806069374084473,2,"[2, 8]"
8,0.6052631578947368,0.603921568627451,0.6167048054919908,0.6039088361275575,0.5761232376098633,6,"[1, 2, 5, 6, 7, 8]"
9,0.7631578947368421,0.7725490196078432,0.7694134455728462,0.7720611577929232,0.5802385807037354,6,"[1, 2, 5, 6, 7, 8]"
10,0.6842105263157895,0.7137254901960784,0.6936303827751197,0.7084919084320762,0.5801436901092529,4,"[1, 2, 6, 8]"
