fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6233766233766234,0.6276923076923078,0.5245901639344263,0.6275716324421889,0.12763094902038574,5,"[1, 2, 5, 6, 8]"
2,0.6493506493506493,0.6598793363499246,0.5714285714285714,0.6590820436573076,0.07281208038330078,5,"[1, 2, 5, 6, 8]"
3,0.5974025974025974,0.6144736842105263,0.45614035087719296,0.6134458325505882,0.07180285453796387,5,"[1, 2, 5, 6, 8]"
4,0.7532467532467533,0.7757692307692308,0.6885245901639344,0.773105625184753,0.0708155632019043,5,"[1, 2, 5, 6, 8]"
5,0.6753246753246753,0.650877192982456,0.4897959183673469,0.6488856845230502,0.07081222534179688,5,"[1, 2, 5, 6, 8]"
6,0.6233766233766234,0.6249999999999999,0.5915492957746479,0.6248966856757964,0.071807861328125,5,"[1, 2, 5, 6, 8]"
7,0.7012987012987013,0.6947916666666667,0.6461538461538462,0.6937218462755803,0.07280611991882324,5,"[1, 2, 5, 6, 8]"
8,0.6447368421052632,0.6506410256410255,0.5423728813559322,0.6504436355879908,0.07380247116088867,5,"[1, 2, 5, 6, 8]"
9,0.631578947368421,0.6298076923076923,0.5172413793103449,0.6297893420697236,0.0718085765838623,5,"[1, 2, 5, 6, 8]"
10,0.6710526315789473,0.6923076923076922,0.5901639344262295,0.6898996582558499,0.07477140426635742,5,"[1, 2, 5, 6, 8]"
