fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.5454545454545454,0.5284615384615384,0.5585921660854756,0.5262348115842175,1.0622501373291016,2,"[2, 8]"
2,0.6623376623376623,0.6791101055806938,0.671482683982684,0.677142429837753,1.0751547813415527,6,"[1, 2, 5, 6, 7, 8]"
3,0.5974025974025974,0.6144736842105263,0.6221598983400394,0.6134458325505882,1.067552089691162,2,"[2, 6]"
4,0.7402597402597403,0.7661538461538461,0.7484563122711791,0.762586691162691,1.0305190086364746,6,"[1, 2, 5, 6, 7, 8]"
5,0.6623376623376623,0.6421052631578947,0.6798701298701298,0.6407232755171874,1.0164759159088135,4,"[1, 2, 6, 8]"
6,0.6363636363636364,0.6325757575757576,0.6374829001367989,0.6320198065034609,1.0312128067016602,6,"[1, 2, 5, 6, 7, 8]"
7,0.6883116883116883,0.6791666666666668,0.6883116883116883,0.67700320038633,1.0302650928497314,6,"[1, 2, 5, 6, 7, 8]"
8,0.631578947368421,0.6634615384615384,0.6441387559808612,0.6577935144802719,1.0213992595672607,6,"[1, 2, 5, 6, 7, 8]"
9,0.6578947368421053,0.6826923076923078,0.6699113374834937,0.6793662204867574,1.031789779663086,5,"[1, 2, 6, 7, 8]"
10,0.6842105263157895,0.7131410256410255,0.6953027730616865,0.7088045189993121,1.1069843769073486,6,"[1, 2, 5, 6, 7, 8]"
