fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6753246753246753,0.5,0.0,0,0.020916223526000977,5,"[1, 2, 5, 6, 8]"
2,0.6623376623376623,0.5,0.0,0,0.016954421997070312,5,"[1, 2, 5, 6, 8]"
3,0.7402597402597403,0.5,0.0,0,0.023912668228149414,5,"[1, 2, 5, 6, 8]"
4,0.6753246753246753,0.5,0.0,0,0.01598811149597168,5,"[1, 2, 5, 6, 8]"
5,0.7402597402597403,0.5,0.0,0,0.017931699752807617,5,"[1, 2, 5, 6, 8]"
6,0.5714285714285714,0.5,0.0,0,0.012996673583984375,5,"[1, 2, 5, 6, 8]"
7,0.5844155844155844,0.5,0.0,0,0.014972925186157227,5,"[1, 2, 5, 6, 8]"
8,0.6842105263157895,0.5,0.0,0,0.015934467315673828,5,"[1, 2, 5, 6, 8]"
9,0.6842105263157895,0.5,0.0,0,0.01593613624572754,5,"[1, 2, 5, 6, 8]"
10,0.6842105263157895,0.5,0.0,0,0.018949270248413086,5,"[1, 2, 5, 6, 8]"
