fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7662337662337663,0.795990566037736,0.7746891406465873,0.7920596508887684,1.0273478031158447,5,"[1, 2, 6, 7, 8]"
2,0.7402597402597403,0.75,0.744949494949495,0.7491491772643939,1.2346694469451904,5,"[1, 2, 6, 7, 8]"
3,0.7532467532467533,0.7616747181964573,0.762219598583235,0.7613869876268811,1.0406179428100586,4,"[1, 2, 6, 8]"
4,0.7012987012987013,0.7374213836477989,0.7122401408115694,0.731157435145505,1.044626235961914,4,"[1, 2, 6, 8]"
5,0.8181818181818182,0.831818181818182,0.8250377073906486,0.8312094145936335,1.0111808776855469,5,"[1, 2, 6, 7, 8]"
6,0.6883116883116883,0.7091836734693877,0.6940679020022384,0.7050422314336612,1.0224897861480713,4,"[1, 2, 6, 8]"
7,0.7272727272727273,0.7215277777777778,0.7278384536811503,0.7207249436813217,1.0101141929626465,5,"[1, 2, 6, 7, 8]"
8,0.631578947368421,0.6374077112387202,0.6461752326524308,0.6372366511986304,1.0127627849578857,4,"[1, 2, 6, 8]"
9,0.631578947368421,0.6195286195286196,0.646895015316068,0.6188672175811488,1.0088739395141602,4,"[1, 2, 6, 8]"
10,0.75,0.7831372549019607,0.7575352238273587,0.7771239081558686,1.022385835647583,5,"[1, 2, 6, 7, 8]"
