fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7272727272727273,0.772962962962963,0.7319932739922557,0.7576767609436587,0.5853941440582275,5,"[1, 2, 6, 7, 8]"
2,0.7402597402597403,0.7403703703703703,0.7449571704890854,0.7403702777314526,0.5958020687103271,5,"[1, 2, 6, 7, 8]"
3,0.7012987012987013,0.6933333333333334,0.7060949754972949,0.6928203230275509,0.7172765731811523,4,"[1, 2, 6, 8]"
4,0.8571428571428571,0.8474074074074074,0.8577200577200578,0.8467803948114511,0.616008996963501,4,"[1, 2, 6, 7]"
5,0.7402597402597403,0.7574074074074074,0.7461219336219337,0.7552286874651746,0.5818958282470703,5,"[1, 2, 6, 7, 8]"
6,0.7922077922077922,0.7974074074074075,0.7959657363912682,0.7972173828734265,0.5635960102081299,2,"[2, 6]"
7,0.7532467532467533,0.7418518518518519,0.7559244878832507,0.7408703590297623,0.5638682842254639,5,"[1, 2, 6, 7, 8]"
8,0.7272727272727273,0.7388888888888888,0.7332667332667333,0.7378647873726218,0.5645096302032471,5,"[1, 2, 6, 7, 8]"
9,0.6578947368421053,0.7307692307692308,0.6578947368421053,0.6933752452815364,0.5636191368103027,4,"[1, 2, 6, 8]"
10,0.6447368421052632,0.6469230769230768,0.6533768216253117,0.646886032050112,0.5802602767944336,4,"[1, 2, 6, 8]"
