fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7272727272727273,0.7556360708534622,0.7386586651528667,0.752344697783811,0.5810003280639648,4,"[np.int64(1), np.int64(2), np.int64(6), np.int64(8)]"
2,0.6753246753246753,0.6889140271493213,0.6840461126175411,0.687641388176302,0.5750002861022949,4,"[np.int64(1), np.int64(2), np.int64(6), np.int64(8)]"
3,0.5974025974025974,0.5982456140350878,0.6218024399842581,0.5982430416161187,0.6106061935424805,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
4,0.7532467532467533,0.7861538461538462,0.761080189651618,0.780532362705589,0.5659992694854736,2,"[np.int64(2), np.int64(6)]"
5,0.7532467532467533,0.7617702448210922,0.7694385550818241,0.7616020383267285,0.5769999027252197,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
6,0.6623376623376623,0.6691489361702128,0.6664949277808375,0.6684373647831918,0.5800001621246338,4,"[np.int64(1), np.int64(2), np.int64(6), np.int64(8)]"
7,0.6753246753246753,0.6617021276595744,0.6762403822160565,0.6588190595235458,0.5686092376708984,2,"[np.int64(2), np.int64(6)]"
8,0.6578947368421053,0.6753846153846154,0.6666417464114832,0.6731098893025738,0.5789999961853027,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
9,0.618421052631579,0.6237373737373737,0.6358264081255772,0.6236095644623235,0.5720000267028809,4,"[np.int64(1), np.int64(2), np.int64(6), np.int64(8)]"
10,0.7236842105263158,0.7796536796536797,0.7382377485539984,0.7695503831509618,0.5779998302459717,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
