fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7532467532467533,0.6618357487922705,0.5128205128205128,0.6216698721602092,0.00698089599609375,6,"[1, 2, 3, 5, 6, 8]"
2,0.7402597402597403,0.6907993966817495,0.5833333333333334,0.6737929826057467,0.008976221084594727,6,"[1, 2, 5, 6, 7, 8]"
3,0.7272727272727273,0.5561403508771929,0.27586206896551724,0.42714885034479166,0.00797891616821289,6,"[1, 2, 5, 6, 7, 8]"
4,0.6753246753246753,0.5726923076923077,0.358974358974359,0.4922475924854202,0.0069811344146728516,6,"[1, 2, 5, 6, 7, 8]"
5,0.7922077922077922,0.690677966101695,0.5294117647058824,0.6638357975446149,0.007977485656738281,6,"[1, 2, 5, 6, 7, 8]"
6,0.7142857142857143,0.6695035460992909,0.56,0.638037772064915,0.006981372833251953,6,"[1, 2, 5, 6, 7, 8]"
7,0.6753246753246753,0.6134751773049645,0.4444444444444444,0.5457768229098153,0.0069811344146728516,6,"[1, 2, 5, 6, 7, 8]"
8,0.75,0.6715384615384616,0.5365853658536586,0.6238836183382036,0.005983591079711914,6,"[1, 2, 5, 6, 7, 8]"
9,0.6973684210526315,0.5580808080808081,0.30303030303030304,0.4494665749754947,0.0069811344146728516,6,"[1, 2, 5, 6, 7, 8]"
10,0.75,0.6506493506493507,0.4864864864864865,0.6115766297251506,0.00698089599609375,6,"[1, 2, 5, 6, 7, 8]"
