fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7272727272727273,0.7556360708534622,0.7386586651528667,0.752344697783811,0.6859996318817139,4,"[1, 2, 6, 8]"
2,0.6233766233766234,0.6402714932126696,0.633532759375456,0.6381534447172755,0.6534781455993652,2,"[2, 6]"
3,0.6623376623376623,0.6583333333333334,0.6814362108479756,0.6582805886043833,0.6509997844696045,2,"[2, 6]"
4,0.7662337662337663,0.7957692307692308,0.7736106810440612,0.7912988349251161,0.6622631549835205,5,"[1, 2, 6, 7, 8]"
5,0.7532467532467533,0.7617702448210922,0.7694385550818241,0.7616020383267285,0.6611411571502686,5,"[1, 2, 6, 7, 8]"
6,0.6623376623376623,0.6691489361702128,0.6664949277808375,0.6684373647831918,0.655322790145874,4,"[1, 2, 6, 8]"
7,0.6753246753246753,0.6617021276595744,0.6762403822160565,0.6588190595235458,0.6470000743865967,2,"[2, 6]"
8,0.6578947368421053,0.6846153846153846,0.6663328511553726,0.6793662204867574,0.6589999198913574,5,"[1, 2, 6, 7, 8]"
9,0.618421052631579,0.6237373737373737,0.6358264081255772,0.6236095644623235,0.6575968265533447,4,"[1, 2, 6, 8]"
10,0.6842105263157895,0.7376623376623377,0.7006864988558352,0.7279217882919358,0.7229993343353271,6,"[1, 2, 5, 6, 7, 8]"
