fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.75,0.775,0.7411487018095988,0.7416198487095663,0.4519996643066406,5,"[1, 3, 5, 7, 33]"
2,0.7714285714285715,0.7237762237762237,0.7601731601731603,0.6996502622814412,0.45665478706359863,11,"[1, 3, 5, 7, 8, 9, 12, 14, 18, 31, 33]"
3,0.7428571428571429,0.7250000000000001,0.7375415282392026,0.714142842854285,0.4055910110473633,5,"[1, 3, 5, 7, 33]"
4,0.6285714285714286,0.6083333333333334,0.6208933185677372,0.5916079783099616,0.4553544521331787,8,"[1, 3, 5, 7, 14, 18, 31, 33]"
5,0.6285714285714286,0.6134868421052632,0.6157745785652763,0.5877029324770341,0.41551637649536133,9,"[1, 3, 5, 7, 9, 12, 14, 16, 33]"
6,0.7428571428571429,0.6699999999999999,0.738611233967271,0.648074069840786,0.44338154792785645,8,"[1, 3, 5, 7, 9, 14, 16, 33]"
7,0.6571428571428571,0.6916666666666667,0.6428571428571429,0.6480740698407861,0.44759225845336914,8,"[1, 3, 5, 7, 12, 14, 18, 33]"
8,0.9142857142857143,0.9,0.9125138427464009,0.8944271909999159,0.4247159957885742,8,"[1, 3, 5, 6, 7, 12, 18, 33]"
9,0.8285714285714286,0.76,0.8223443223443222,0.7429670248402684,0.441591739654541,9,"[1, 3, 5, 7, 9, 12, 14, 31, 33]"
10,0.8571428571428571,0.8214285714285714,0.849213691026827,0.8017837257372732,0.40400004386901855,5,"[1, 3, 5, 7, 33]"
