fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7222222222222222,0.74375,0.7152777777777778,0.7180703308172536,0.4475874900817871,5,"[1, 3, 5, 7, 33]"
2,0.7428571428571429,0.7167832167832169,0.7405714285714287,0.7095748751868992,0.45600008964538574,11,"[1, 3, 5, 7, 9, 12, 14, 18, 25, 31, 33]"
3,0.7714285714285715,0.75,0.7642357642357642,0.7348469228349535,0.41669487953186035,9,"[1, 3, 5, 7, 9, 14, 18, 31, 33]"
4,0.6285714285714286,0.6083333333333334,0.6208933185677372,0.5916079783099616,0.435593843460083,5,"[1, 3, 5, 7, 33]"
5,0.6857142857142857,0.6661184210526316,0.6661587301587302,0.6256575488404601,0.4199998378753662,8,"[1, 3, 5, 7, 9, 14, 31, 33]"
6,0.7428571428571429,0.6699999999999999,0.738611233967271,0.648074069840786,0.4479999542236328,10,"[1, 3, 5, 7, 9, 11, 14, 16, 18, 33]"
7,0.7142857142857143,0.75,0.7023809523809523,0.7071067811865476,0.4513893127441406,5,"[1, 3, 5, 7, 33]"
8,0.9142857142857143,0.9,0.9125138427464009,0.8944271909999159,0.42600011825561523,14,"[1, 3, 5, 6, 7, 9, 12, 14, 16, 18, 20, 25, 31, 33]"
9,0.8285714285714286,0.76,0.8223443223443222,0.7429670248402684,0.4549999237060547,10,"[1, 3, 5, 7, 9, 12, 14, 18, 20, 31]"
10,0.8571428571428571,0.8214285714285714,0.849213691026827,0.8017837257372732,0.4112882614135742,5,"[1, 3, 5, 7, 33]"
