fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8611111111111112,0.8333333333333334,0.8546099290780141,0.816496580927726,0.4147770404815674,3,"[1, 3, 5]"
2,0.8857142857142857,0.8461538461538461,0.88008658008658,0.8320502943378437,0.4474143981933594,11,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 15, 25]"
3,0.9714285714285714,0.9545454545454545,0.9710398445092322,0.9534625892455924,0.44700026512145996,5,"[1, 3, 5, 29, 31]"
4,0.8,0.7857142857142858,0.798621877691645,0.7824607964359516,0.41100025177001953,10,"[1, 3, 5, 6, 7, 8, 9, 25, 29, 31]"
5,0.8571428571428571,0.8115942028985508,0.8513119533527697,0.7985494095046904,0.4328014850616455,10,"[1, 3, 5, 7, 8, 9, 14, 25, 31, 33]"
6,0.8285714285714286,0.7756410256410258,0.8285714285714286,0.7679476477883044,0.4026188850402832,8,"[1, 3, 5, 7, 8, 14, 25, 31]"
7,0.8,0.78125,0.7875555555555556,0.75,0.4374074935913086,3,"[1, 3, 5]"
8,0.9714285714285714,0.9642857142857143,0.9712316968130921,0.9636241116594315,0.4317972660064697,7,"[1, 3, 5, 6, 7, 8, 25]"
9,0.8857142857142857,0.8181818181818181,0.8774114774114774,0.7977240352174656,0.40760302543640137,7,"[1, 3, 5, 7, 8, 10, 25]"
10,0.9142857142857143,0.8882575757575758,0.9131195335276968,0.8854890790353708,0.43400025367736816,7,"[1, 3, 5, 7, 8, 29, 31]"
