fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7666666666666666,0.7898550724637681,0.7302967433402214,0.01800084114074707,3,"[np.int64(3), np.int64(5), np.int64(7)]"
2,0.8857142857142857,0.8618881118881119,0.8834368530020703,0.8568930704969754,0.020000219345092773,3,"[np.int64(1), np.int64(3), np.int64(5)]"
3,0.9142857142857143,0.8636363636363636,0.9100398053958425,0.8528028654224418,0.018000125885009766,2,"[np.int64(3), np.int64(5)]"
4,0.6857142857142857,0.6547619047619048,0.6773333333333333,0.6362090102803518,0.019000530242919922,3,"[np.int64(3), np.int64(5), np.int64(7)]"
5,0.7428571428571429,0.6648550724637681,0.7216275984077841,0.6167939547439611,0.017999887466430664,2,"[np.int64(3), np.int64(5)]"
6,0.8285714285714286,0.7393162393162394,0.821031746031746,0.716114874039433,0.01900005340576172,3,"[np.int64(3), np.int64(5), np.int64(7)]"
7,0.8,0.78125,0.7875555555555556,0.75,0.018000125885009766,3,"[np.int64(3), np.int64(5), np.int64(7)]"
8,0.9714285714285714,0.9642857142857143,0.9712316968130921,0.9636241116594315,0.018000125885009766,3,"[np.int64(1), np.int64(3), np.int64(5)]"
9,0.8571428571428571,0.7727272727272727,0.8428729982559062,0.7385489458759964,0.048000335693359375,3,"[np.int64(1), np.int64(3), np.int64(5)]"
10,0.9428571428571428,0.9090909090909091,0.9411428571428571,0.9045340337332909,0.018999814987182617,3,"[np.int64(1), np.int64(3), np.int64(5)]"
