fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8611111111111112,0.8244147157190636,0.8563048407768905,0.8137612413107003,0.392139196395874,5,"[1, 3, 5, 29, 31]"
2,0.9142857142857143,0.8949275362318841,0.9133342143517906,0.8928053815224023,0.4530363082885742,12,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 15, 19, 25]"
3,0.9142857142857143,0.8949275362318841,0.9133342143517906,0.8928053815224023,0.39164066314697266,10,"[1, 3, 5, 7, 8, 12, 15, 23, 25, 31]"
4,0.8857142857142857,0.8333333333333334,0.8788571428571429,0.816496580927726,0.43960094451904297,10,"[1, 3, 5, 7, 8, 12, 15, 25, 29, 31]"
5,0.9142857142857143,0.875,0.9107871720116618,0.8660254037844386,0.40700650215148926,13,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 15, 18, 25, 31]"
6,0.9428571428571428,0.9230769230769231,0.9417184265010352,0.9198662110077999,0.4387831687927246,6,"[1, 3, 5, 7, 29, 31]"
7,0.8285714285714286,0.8006993006993007,0.8251552795031056,0.7933288280219176,0.3935089111328125,8,"[1, 3, 5, 7, 8, 25, 29, 31]"
8,0.9142857142857143,0.8846153846153846,0.9114312144839434,0.8770580193070292,0.4388155937194824,11,"[1, 3, 5, 6, 7, 8, 9, 15, 23, 25, 29]"
9,0.8285714285714286,0.8006993006993007,0.8251552795031056,0.7933288280219176,0.39166736602783203,12,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 15, 25, 31]"
10,0.8285714285714286,0.784965034965035,0.82012987012987,0.7664284620319025,0.4374551773071289,11,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 25, 31]"
