fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7777777777777778,0.7714285714285716,0.7777777777777778,0.7704873741021288,0.4385538101196289,5,"[1, 3, 5, 31, 33]"
2,0.8285714285714286,0.8095238095238095,0.8258741258741259,0.8039020483873397,0.4226531982421875,11,"[1, 3, 5, 7, 8, 9, 14, 15, 16, 18, 31]"
3,0.8,0.75,0.780952380952381,0.7071067811865476,0.4387683868408203,8,"[1, 3, 5, 7, 9, 16, 18, 31]"
4,0.8285714285714286,0.7976190476190476,0.8217391304347826,0.7824607964359516,0.4239661693572998,10,"[1, 3, 5, 7, 8, 9, 12, 14, 18, 31]"
5,0.8857142857142857,0.8571428571428572,0.881159420289855,0.8451542547285166,0.4398837089538574,6,"[1, 3, 5, 7, 31, 33]"
6,0.7714285714285715,0.75,0.7678321678321678,0.7423074889580903,0.4079892635345459,11,"[1, 3, 5, 7, 8, 9, 14, 15, 18, 25, 31]"
7,0.8285714285714286,0.7857142857142857,0.8159090909090908,0.7559289460184544,0.43749022483825684,5,"[1, 3, 5, 7, 31]"
8,0.8571428571428571,0.8214285714285714,0.849213691026827,0.8017837257372732,0.3927645683288574,10,"[1, 3, 5, 7, 9, 12, 14, 16, 18, 31]"
9,0.8,0.7749999999999999,0.7911111111111111,0.7549834435270749,0.4407200813293457,7,"[1, 3, 5, 7, 14, 18, 31]"
10,0.7714285714285715,0.75,0.7642357642357642,0.7348469228349535,0.4061274528503418,8,"[1, 3, 5, 7, 14, 18, 31, 33]"
