fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7941176470588236,0.7954732510288065,0.7669649888473704,0.9816765785217285,12,"[1, 3, 4, 5, 7, 8, 9, 11, 15, 18, 25, 31]"
2,0.8285714285714286,0.8095238095238095,0.8258741258741259,0.8039020483873397,0.9540057182312012,9,"[1, 3, 5, 7, 9, 14, 16, 18, 31]"
3,0.8571428571428571,0.8333333333333334,0.8507936507936508,0.816496580927726,0.9855973720550537,9,"[1, 3, 5, 7, 14, 15, 16, 18, 31]"
4,0.6857142857142857,0.680921052631579,0.6846744653196266,0.6786208925382962,0.9710493087768555,11,"[1, 3, 5, 6, 7, 8, 9, 14, 15, 18, 31]"
5,0.8,0.7738095238095237,0.7946666666666666,0.7626484465736652,1.0147063732147217,12,"[1, 3, 4, 5, 7, 9, 12, 14, 15, 16, 18, 31]"
6,0.8285714285714286,0.76,0.8223443223443222,0.7429670248402684,1.0409159660339355,13,"[1, 3, 5, 7, 9, 10, 15, 16, 18, 20, 25, 31, 33]"
7,0.8285714285714286,0.8235294117647058,0.8224489795918367,0.8043996665398437,0.9790935516357422,5,"[1, 3, 5, 7, 31]"
8,0.8857142857142857,0.8823529411764706,0.8838095238095238,0.8744746321952062,1.0346472263336182,9,"[1, 3, 5, 7, 9, 14, 16, 18, 31]"
9,0.8285714285714286,0.7272727272727273,0.8059523809523809,0.674199862463242,1.0030999183654785,4,"[1, 3, 5, 31]"
10,0.9142857142857143,0.875,0.9107871720116618,0.8660254037844386,1.0510432720184326,5,"[1, 3, 5, 7, 31]"
