fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8333333333333334,0.8235294117647058,0.8636363636363636,0.8043996665398437,0.6572418212890625,8,"[1, 3, 5, 7, 9, 16, 18, 31]"
2,0.8571428571428571,0.8452380952380951,0.8837209302325582,0.8431395814107511,0.6821761131286621,8,"[1, 3, 5, 7, 14, 16, 18, 31]"
3,0.8571428571428571,0.8333333333333334,0.8888888888888888,0.816496580927726,0.6821765899658203,8,"[1, 3, 5, 7, 14, 16, 18, 31]"
4,0.6857142857142857,0.680921052631579,0.717948717948718,0.6786208925382962,0.716083288192749,10,"[1, 3, 5, 6, 7, 8, 9, 15, 18, 31]"
5,0.8,0.7738095238095237,0.8444444444444444,0.7626484465736652,0.6981327533721924,12,"[1, 3, 4, 5, 7, 9, 12, 14, 15, 16, 18, 31]"
6,0.7714285714285715,0.69,0.8461538461538461,0.6633249580710799,0.6402876377105713,5,"[1, 3, 5, 7, 33]"
7,0.8571428571428571,0.8529411764705882,0.8780487804878049,0.8401680504168059,0.6951406002044678,10,"[1, 3, 5, 7, 8, 12, 15, 16, 18, 31]"
8,0.8857142857142857,0.8823529411764706,0.9,0.8744746321952062,0.6771888732910156,11,"[1, 3, 5, 6, 7, 8, 9, 15, 18, 25, 31]"
9,0.9142857142857143,0.8636363636363636,0.9411764705882353,0.8528028654224418,0.7352049350738525,10,"[1, 3, 5, 7, 8, 9, 12, 15, 18, 31]"
10,0.8857142857142857,0.8532608695652174,0.9166666666666666,0.8469895538599199,0.6801817417144775,8,"[1, 3, 5, 7, 14, 16, 18, 31]"
