fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6666666666666666,0.6590909090909092,0.6572549019607843,0.6396021490668313,0.3529999256134033,12,"[1, 2, 12, 18, 20, 22, 28, 39, 44, 46, 48, 53]"
2,0.6190476190476191,0.6071428571428571,0.6282051282051282,0.6060915267313265,0.3419992923736572,7,"[9, 12, 22, 45, 46, 48, 60]"
3,0.6190476190476191,0.6527777777777777,0.6031746031746033,0.6085806194501846,0.37199974060058594,11,"[1, 2, 9, 12, 18, 29, 39, 45, 46, 48, 60]"
4,0.7619047619047619,0.7836538461538461,0.7651738040754059,0.7783117824941562,0.3509998321533203,10,"[1, 5, 8, 9, 12, 19, 22, 45, 48, 60]"
5,0.7142857142857143,0.7272727272727273,0.6936813186813188,0.674199862463242,0.37800025939941406,14,"[2, 4, 9, 12, 18, 21, 22, 30, 39, 43, 44, 46, 48, 60]"
6,0.5714285714285714,0.5681818181818181,0.569467146126185,0.5640760748177662,0.3379993438720703,9,"[1, 9, 12, 13, 39, 43, 46, 48, 60]"
7,0.5714285714285714,0.5336538461538461,0.5650793650793651,0.509524665365068,0.3410000801086426,7,"[9, 12, 39, 43, 45, 48, 60]"
8,0.5714285714285714,0.5772727272727273,0.5655442955214122,0.5640760748177662,0.38265419006347656,12,"[1, 4, 12, 19, 21, 22, 30, 38, 43, 45, 48, 60]"
9,0.75,0.7291666666666667,0.7466666666666667,0.7216878364870323,0.3429999351501465,9,"[1, 9, 12, 39, 43, 45, 46, 48, 60]"
10,0.7,0.7083333333333334,0.7030303030303029,0.7071067811865476,0.37999987602233887,12,"[1, 4, 9, 12, 20, 22, 29, 39, 44, 47, 51, 59]"
