fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6666666666666666,0.6636363636363637,0.6651411136536994,0.6605782590758164,0.357830286026001,12,"[1, 9, 12, 18, 22, 29, 39, 43, 48, 51, 53, 60]"
2,0.47619047619047616,0.47272727272727266,0.47379317859867054,0.46709936649691375,0.3593411445617676,13,"[1, 12, 19, 22, 29, 38, 43, 44, 49, 51, 53, 59, 60]"
3,0.6190476190476191,0.6136363636363636,0.6137566137566137,0.6030226891555273,0.40836501121520996,14,"[1, 2, 9, 12, 13, 19, 22, 27, 34, 44, 49, 51, 53, 60]"
4,0.7142857142857143,0.7222222222222222,0.7155844155844155,0.7200822998230956,0.34586381912231445,9,"[1, 9, 12, 18, 22, 39, 45, 48, 60]"
5,0.7619047619047619,0.763888888888889,0.7629944426283098,0.7637626158259734,0.3606264591217041,18,"[1, 2, 4, 9, 12, 20, 22, 28, 30, 39, 44, 48, 49, 51, 53, 58, 59, 60]"
6,0.7142857142857143,0.7083333333333334,0.7142857142857143,0.7071067811865476,0.3440835475921631,12,"[1, 4, 9, 12, 21, 22, 29, 39, 43, 44, 48, 51]"
7,0.47619047619047616,0.48611111111111116,0.47619047619047616,0.4811252243246882,0.3939089775085449,17,"[2, 5, 9, 12, 21, 22, 24, 29, 31, 34, 39, 43, 44, 48, 51, 53, 60]"
8,0.5238095238095238,0.47222222222222227,0.4523809523809524,0.3042903097250923,0.34405064582824707,10,"[1, 12, 20, 29, 39, 43, 45, 46, 48, 60]"
9,0.6,0.5858585858585859,0.5916666666666666,0.5685352436149611,0.34371376037597656,8,"[1, 9, 12, 39, 43, 45, 48, 60]"
10,0.8,0.7979797979797981,0.8,0.7977240352174657,0.392742395401001,18,"[1, 4, 9, 12, 19, 21, 22, 27, 29, 30, 34, 38, 39, 44, 48, 49, 53, 59]"
