fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7619047619047619,0.759090909090909,0.760815081181214,0.7567874686642695,0.3449900150299072,10,"[1, 9, 12, 13, 18, 29, 39, 45, 48, 60]"
2,0.5714285714285714,0.5681818181818181,0.569467146126185,0.5640760748177662,0.3602921962738037,15,"[1, 4, 9, 12, 19, 22, 29, 39, 43, 44, 48, 52, 53, 58, 59]"
3,0.6666666666666666,0.6590909090909092,0.6572549019607843,0.6396021490668313,0.36313343048095703,19,"[1, 2, 9, 12, 13, 19, 22, 27, 30, 34, 40, 49, 51, 53, 54, 57, 58, 59, 60]"
4,0.7142857142857143,0.7222222222222222,0.7155844155844155,0.7200822998230956,0.39028120040893555,9,"[1, 9, 12, 18, 22, 39, 45, 48, 60]"
5,0.9523809523809523,0.9444444444444444,0.9519327731092437,0.9428090415820634,0.34444284439086914,9,"[1, 9, 12, 29, 45, 48, 53, 56, 60]"
6,0.6666666666666666,0.6666666666666667,0.6681922196796338,0.6666666666666666,0.35959959030151367,16,"[1, 2, 12, 19, 21, 28, 36, 39, 41, 43, 47, 51, 52, 53, 59, 60]"
7,0.5714285714285714,0.5555555555555555,0.5673949579831932,0.5443310539518174,0.34589433670043945,10,"[1, 2, 9, 12, 20, 39, 43, 48, 51, 53]"
8,0.5238095238095238,0.47222222222222227,0.4523809523809524,0.3042903097250923,0.392345666885376,9,"[1, 12, 20, 29, 39, 43, 45, 48, 60]"
9,0.6,0.5858585858585859,0.5916666666666666,0.5685352436149611,0.360029935836792,15,"[1, 2, 12, 22, 28, 39, 43, 45, 47, 48, 53, 54, 58, 59, 60]"
10,0.75,0.7424242424242425,0.7480818414322251,0.7385489458759964,0.3569343090057373,15,"[1, 9, 12, 20, 22, 29, 39, 44, 45, 48, 51, 52, 53, 58, 60]"
