fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8571428571428571,0.8605769230769231,0.8584873949579832,0.8604560508152729,0.3485908508300781,9,"[9, 12, 20, 21, 22, 42, 43, 44, 46]"
2,0.7142857142857143,0.7211538461538461,0.7182539682539681,0.7205766921228921,0.38000059127807617,11,"[9, 11, 12, 20, 21, 22, 28, 43, 44, 45, 46]"
3,0.7619047619047619,0.8076923076923077,0.7619047619047619,0.7844645405527362,0.3444051742553711,12,"[3, 5, 9, 11, 12, 20, 21, 22, 23, 44, 46, 49]"
4,0.6666666666666666,0.6590909090909092,0.6572549019607843,0.6396021490668313,0.3410000801086426,12,"[3, 9, 11, 12, 19, 20, 21, 22, 42, 43, 44, 46]"
5,0.5714285714285714,0.625,0.5142857142857143,0.5,0.368999719619751,10,"[9, 11, 12, 13, 19, 21, 22, 43, 46, 47]"
6,0.8571428571428571,0.8571428571428572,0.8592592592592593,0.8571428571428571,0.3339998722076416,7,"[9, 12, 20, 22, 43, 44, 46]"
7,0.7142857142857143,0.7227272727272727,0.7063492063492063,0.7006490497453707,0.3620002269744873,7,"[9, 10, 12, 21, 43, 44, 46]"
8,0.5714285714285714,0.6057692307692308,0.5714285714285714,0.5883484054145521,0.3599991798400879,13,"[3, 9, 11, 12, 13, 19, 20, 22, 28, 42, 43, 44, 46]"
9,0.7,0.7,0.7,0.7,0.3345925807952881,9,"[9, 11, 12, 20, 21, 22, 43, 44, 46]"
10,0.65,0.6648351648351649,0.6580562659846547,0.6629935441317959,0.363999605178833,10,"[9, 11, 12, 20, 21, 22, 43, 44, 45, 46]"
