fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.8221153846153846,0.8121693121693122,0.820412654142367,0.5002460479736328,8,"[9, 12, 20, 21, 22, 43, 46, 51]"
2,0.5714285714285714,0.5817307692307692,0.5773128473357306,0.5801193511153213,0.5410003662109375,10,"[9, 12, 21, 22, 30, 43, 44, 46, 51, 60]"
3,0.7619047619047619,0.7596153846153846,0.7641456582633053,0.75955452531275,0.5063087940216064,9,"[5, 9, 12, 20, 21, 22, 43, 46, 49]"
4,0.8095238095238095,0.8136363636363637,0.8086580086580087,0.8090398349558905,0.5165956020355225,20,"[1, 3, 5, 9, 11, 12, 20, 21, 22, 23, 24, 26, 29, 30, 43, 45, 47, 51, 53, 60]"
5,0.5714285714285714,0.625,0.5142857142857143,0.5,0.5463078022003174,12,"[1, 3, 9, 12, 20, 21, 22, 43, 44, 45, 47, 51]"
6,0.8095238095238095,0.8214285714285714,0.8141025641025641,0.8206518066482897,0.5165832042694092,17,"[1, 3, 5, 9, 12, 21, 23, 26, 30, 33, 43, 44, 46, 49, 51, 52, 60]"
7,0.7142857142857143,0.7227272727272727,0.7063492063492063,0.7006490497453707,0.509000301361084,13,"[9, 11, 12, 21, 22, 30, 43, 44, 46, 47, 51, 56, 58]"
8,0.6666666666666666,0.6826923076923078,0.6712433257055682,0.6793662204867574,0.5370004177093506,9,"[9, 11, 12, 20, 21, 22, 43, 46, 51]"
9,0.7,0.7,0.7,0.7,0.5073285102844238,8,"[9, 12, 20, 21, 22, 43, 44, 46]"
10,0.65,0.6648351648351649,0.6580562659846547,0.6629935441317959,0.503000020980835,8,"[9, 12, 20, 21, 22, 43, 44, 46]"
