fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7619047619047619,0.7355769230769231,0.8148148148148148,0.7272180923534245,0.35259270668029785,16,"[np.int64(1), np.int64(4), np.int64(11), np.int64(12), np.int64(20), np.int64(22), np.int64(23), np.int64(24), np.int64(28), np.int64(45), np.int64(46), np.int64(49), np.int64(52), np.int64(53), np.int64(54), np.int64(59)]"
2,0.6190476190476191,0.6442307692307692,0.6363636363636364,0.6354889093022426,0.3347663879394531,7,"[np.int64(1), np.int64(11), np.int64(12), np.int64(47), np.int64(49), np.int64(51), np.int64(52)]"
3,0.7619047619047619,0.7777777777777778,0.7619047619047619,0.769800358919501,0.39281511306762695,12,"[np.int64(4), np.int64(11), np.int64(12), np.int64(21), np.int64(22), np.int64(23), np.int64(28), np.int64(43), np.int64(45), np.int64(46), np.int64(49), np.int64(52)]"
4,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.7627700713964739,0.3453989028930664,7,"[np.int64(11), np.int64(12), np.int64(21), np.int64(47), np.int64(48), np.int64(49), np.int64(52)]"
5,0.6666666666666666,0.6818181818181819,0.7407407407407407,0.6030226891555273,0.3753955364227295,11,"[np.int64(4), np.int64(10), np.int64(11), np.int64(22), np.int64(43), np.int64(44), np.int64(47), np.int64(48), np.int64(49), np.int64(52), np.int64(54)]"
6,0.7619047619047619,0.75,0.8148148148148148,0.7491491772643939,0.3615450859069824,13,"[np.int64(1), np.int64(4), np.int64(11), np.int64(12), np.int64(21), np.int64(22), np.int64(23), np.int64(45), np.int64(47), np.int64(49), np.int64(51), np.int64(52), np.int64(53)]"
7,0.7142857142857143,0.7227272727272727,0.75,0.7006490497453707,0.3437066078186035,14,"[np.int64(4), np.int64(11), np.int64(12), np.int64(21), np.int64(22), np.int64(28), np.int64(43), np.int64(45), np.int64(47), np.int64(48), np.int64(49), np.int64(51), np.int64(52), np.int64(54)]"
8,0.5714285714285714,0.5972222222222221,0.6086956521739131,0.5692750425533111,0.3770272731781006,11,"[np.int64(5), np.int64(11), np.int64(12), np.int64(21), np.int64(22), np.int64(43), np.int64(45), np.int64(46), np.int64(48), np.int64(49), np.int64(52)]"
9,0.8,0.8080808080808081,0.8,0.8040302522073697,0.3604557514190674,15,"[np.int64(1), np.int64(11), np.int64(12), np.int64(21), np.int64(22), np.int64(23), np.int64(28), np.int64(43), np.int64(44), np.int64(45), np.int64(47), np.int64(49), np.int64(51), np.int64(52), np.int64(58)]"
10,0.55,0.5625,0.5714285714285714,0.5590169943749475,0.36142921447753906,16,"[np.int64(1), np.int64(4), np.int64(11), np.int64(12), np.int64(20), np.int64(21), np.int64(23), np.int64(28), np.int64(44), np.int64(45), np.int64(47), np.int64(49), np.int64(51), np.int64(52), np.int64(54), np.int64(58)]"
