fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.7740384615384615,0.8571428571428571,0.75955452531275,0.3272819519042969,8,"[np.int64(1), np.int64(12), np.int64(43), np.int64(44), np.int64(47), np.int64(49), np.int64(52), np.int64(54)]"
2,0.5714285714285714,0.58125,0.6666666666666666,0.5809475019311126,0.37900400161743164,17,"[np.int64(1), np.int64(4), np.int64(5), np.int64(11), np.int64(12), np.int64(21), np.int64(22), np.int64(28), np.int64(29), np.int64(30), np.int64(44), np.int64(47), np.int64(49), np.int64(51), np.int64(52), np.int64(54), np.int64(59)]"
3,0.6190476190476191,0.6090909090909091,0.6923076923076923,0.5720775535473555,0.34503984451293945,7,"[np.int64(4), np.int64(9), np.int64(12), np.int64(21), np.int64(45), np.int64(47), np.int64(49)]"
4,0.7619047619047619,0.7836538461538461,0.782608695652174,0.7783117824941562,0.36513781547546387,9,"[np.int64(4), np.int64(5), np.int64(11), np.int64(12), np.int64(21), np.int64(26), np.int64(47), np.int64(49), np.int64(52)]"
5,0.6190476190476191,0.6318181818181818,0.6923076923076923,0.5720775535473553,0.38165926933288574,15,"[np.int64(2), np.int64(4), np.int64(11), np.int64(12), np.int64(21), np.int64(28), np.int64(39), np.int64(43), np.int64(47), np.int64(49), np.int64(52), np.int64(53), np.int64(54), np.int64(58), np.int64(59)]"
6,0.8571428571428571,0.8214285714285715,0.896551724137931,0.8144110179279558,0.34589648246765137,10,"[np.int64(1), np.int64(5), np.int64(12), np.int64(21), np.int64(45), np.int64(47), np.int64(49), np.int64(51), np.int64(54), np.int64(59)]"
7,0.7142857142857143,0.7045454545454546,0.7692307692307693,0.674199862463242,0.345794677734375,9,"[np.int64(5), np.int64(9), np.int64(12), np.int64(39), np.int64(43), np.int64(47), np.int64(49), np.int64(51), np.int64(54)]"
8,0.5238095238095238,0.5409090909090909,0.6428571428571429,0.40451991747794525,0.37499165534973145,7,"[np.int64(1), np.int64(12), np.int64(45), np.int64(47), np.int64(49), np.int64(51), np.int64(54)]"
9,0.8,0.7979797979797981,0.8181818181818182,0.7977240352174657,0.34644293785095215,16,"[np.int64(1), np.int64(4), np.int64(5), np.int64(12), np.int64(21), np.int64(29), np.int64(39), np.int64(43), np.int64(44), np.int64(45), np.int64(47), np.int64(49), np.int64(52), np.int64(54), np.int64(58), np.int64(59)]"
10,0.75,0.7291666666666667,0.8,0.7216878364870323,0.329622745513916,7,"[np.int64(1), np.int64(9), np.int64(12), np.int64(47), np.int64(49), np.int64(51), np.int64(52)]"
