fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.7740384615384615,0.8571428571428571,0.75955452531275,0.3918769359588623,19,"[np.int64(1), np.int64(4), np.int64(5), np.int64(12), np.int64(21), np.int64(28), np.int64(29), np.int64(34), np.int64(39), np.int64(43), np.int64(44), np.int64(45), np.int64(47), np.int64(49), np.int64(52), np.int64(53), np.int64(54), np.int64(58), np.int64(59)]"
2,0.6190476190476191,0.6125,0.7142857142857143,0.6123724356957945,0.3593595027923584,17,"[np.int64(1), np.int64(4), np.int64(5), np.int64(11), np.int64(12), np.int64(21), np.int64(22), np.int64(28), np.int64(30), np.int64(39), np.int64(44), np.int64(47), np.int64(49), np.int64(51), np.int64(52), np.int64(54), np.int64(59)]"
3,0.6666666666666666,0.6545454545454545,0.7407407407407407,0.6030226891555273,0.34583616256713867,7,"[np.int64(4), np.int64(9), np.int64(12), np.int64(46), np.int64(47), np.int64(49), np.int64(52)]"
4,0.7619047619047619,0.7836538461538461,0.782608695652174,0.7783117824941562,0.3926422595977783,9,"[np.int64(5), np.int64(11), np.int64(12), np.int64(21), np.int64(47), np.int64(49), np.int64(51), np.int64(52), np.int64(53)]"
5,0.6190476190476191,0.6318181818181818,0.6923076923076923,0.5720775535473553,0.344463586807251,11,"[np.int64(4), np.int64(5), np.int64(11), np.int64(12), np.int64(21), np.int64(39), np.int64(43), np.int64(47), np.int64(49), np.int64(52), np.int64(54)]"
6,0.8095238095238095,0.7857142857142858,0.8571428571428571,0.7824607964359516,0.3441464900970459,7,"[np.int64(1), np.int64(12), np.int64(45), np.int64(47), np.int64(49), np.int64(51), np.int64(54)]"
7,0.6666666666666666,0.6545454545454545,0.7407407407407407,0.6030226891555273,0.37799882888793945,9,"[np.int64(1), np.int64(9), np.int64(12), np.int64(43), np.int64(44), np.int64(45), np.int64(47), np.int64(49), np.int64(51)]"
8,0.5714285714285714,0.5818181818181818,0.64,0.5393598899705937,0.36003661155700684,16,"[np.int64(4), np.int64(12), np.int64(19), np.int64(21), np.int64(28), np.int64(34), np.int64(39), np.int64(41), np.int64(43), np.int64(45), np.int64(46), np.int64(47), np.int64(49), np.int64(53), np.int64(54), np.int64(59)]"
9,0.8,0.787878787878788,0.8333333333333334,0.7784989441615229,0.34422922134399414,9,"[np.int64(1), np.int64(9), np.int64(12), np.int64(43), np.int64(44), np.int64(47), np.int64(49), np.int64(51), np.int64(58)]"
10,0.75,0.7291666666666667,0.8,0.7216878364870323,0.3927614688873291,11,"[np.int64(1), np.int64(5), np.int64(9), np.int64(12), np.int64(21), np.int64(39), np.int64(44), np.int64(47), np.int64(49), np.int64(52), np.int64(53)]"
