fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8771929824561403,0.8952991452991452,0.8804754954543057,0.8939492710133495,0.6425144672393799,12,"[2, 4, 6, 7, 8, 9, 11, 22, 23, 24, 26, 29]"
2,0.8245614035087719,0.8552631578947367,0.8294970161977835,0.850289180073869,0.6597087383270264,12,"[4, 6, 7, 8, 11, 18, 21, 22, 23, 24, 26, 28]"
3,0.8947368421052632,0.881578947368421,0.8947368421052632,0.880694764772711,0.6270670890808105,5,"[2, 4, 21, 23, 27]"
4,0.8070175438596491,0.8157894736842104,0.8114422971940168,0.8153649149910351,0.6473519802093506,10,"[2, 4, 7, 13, 21, 22, 23, 26, 27, 28]"
5,0.8245614035087719,0.8157894736842104,0.8265765765765767,0.8153649149910351,0.5900735855102539,6,"[4, 21, 23, 24, 26, 27]"
6,0.8245614035087719,0.8421052631578948,0.829004329004329,0.8404589169827007,0.6425981521606445,11,"[2, 4, 7, 13, 21, 22, 23, 24, 26, 27, 28]"
7,0.8245614035087719,0.8421052631578948,0.829004329004329,0.8404589169827007,0.6449058055877686,12,"[2, 4, 6, 11, 13, 21, 22, 23, 24, 26, 27, 28]"
8,0.8245614035087719,0.8157894736842104,0.8265765765765767,0.8153649149910351,0.6417255401611328,5,"[4, 21, 22, 23, 27]"
9,0.8596491228070176,0.8815789473684209,0.8632034632034632,0.8791206888678982,0.6270310878753662,11,"[2, 4, 7, 11, 21, 22, 23, 24, 26, 27, 28]"
10,0.8214285714285714,0.8245614035087719,0.8253968253968254,0.8245147429873578,0.627072811126709,12,"[1, 2, 4, 7, 11, 13, 21, 22, 23, 26, 27, 28]"
