fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8771929824561403,0.857469512195122,0.8782956268336385,0.8562894997120268,0.6104958057403564,15,"[np.int64(2), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(28), np.int64(29)]"
2,0.8596491228070176,0.8804054054054054,0.8626104904204245,0.8776504260070009,0.6456029415130615,13,"[np.int64(2), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(28)]"
3,0.8771929824561403,0.9102564102564102,0.8811350354267589,0.9058216273156766,0.6349999904632568,13,"[np.int64(4), np.int64(6), np.int64(7), np.int64(9), np.int64(11), np.int64(17), np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(26), np.int64(27), np.int64(28)]"
4,0.8070175438596491,0.7948529411764705,0.8110817584501795,0.7942810289445269,0.6402363777160645,14,"[np.int64(2), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(26), np.int64(27), np.int64(28)]"
5,0.8421052631578947,0.8536764705882351,0.8469635627530365,0.8531946884917816,0.6305935382843018,10,"[np.int64(2), np.int64(4), np.int64(7), np.int64(11), np.int64(21), np.int64(22), np.int64(23), np.int64(26), np.int64(27), np.int64(28)]"
6,0.8070175438596491,0.8030690537084398,0.807630381129069,0.802808369894322,0.6360001564025879,11,"[np.int64(2), np.int64(4), np.int64(5), np.int64(8), np.int64(9), np.int64(11), np.int64(21), np.int64(22), np.int64(23), np.int64(26), np.int64(28)]"
7,0.8596491228070176,0.8819930069930071,0.8676722293538726,0.8810356271024323,0.623999834060669,5,"[np.int64(4), np.int64(21), np.int64(22), np.int64(23), np.int64(27)]"
8,0.8070175438596491,0.8062500000000001,0.8073779219290055,0.806225774829855,0.6451990604400635,15,"[np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(9), np.int64(11), np.int64(18), np.int64(19), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(28), np.int64(29)]"
9,0.8070175438596491,0.8101023017902814,0.8084717287724806,0.80994458463467,0.603907585144043,12,"[np.int64(1), np.int64(6), np.int64(7), np.int64(9), np.int64(11), np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(28)]"
10,0.8928571428571429,0.8875,0.8946347769877183,0.8874119674649424,0.6449999809265137,14,"[np.int64(2), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(26), np.int64(27), np.int64(28)]"
