fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9824561403508771,0.9705882352941176,0.9822986197255202,0.9701425001453319,0.6210000514984131,11,"[np.int64(2), np.int64(7), np.int64(8), np.int64(11), np.int64(21), np.int64(22), np.int64(24), np.int64(25), np.int64(27), np.int64(28), np.int64(29)]"
2,0.9473684210526315,0.9454094292803971,0.9472701361246252,0.9451456227158638,0.625586986541748,10,"[np.int64(2), np.int64(7), np.int64(8), np.int64(11), np.int64(14), np.int64(22), np.int64(24), np.int64(25), np.int64(27), np.int64(29)]"
3,1.0,1.0,1.0,1.0,0.5910000801086426,9,"[np.int64(2), np.int64(8), np.int64(11), np.int64(22), np.int64(24), np.int64(25), np.int64(27), np.int64(28), np.int64(29)]"
4,0.9824561403508771,0.9874999999999999,0.9825957298309064,0.9874208829065749,0.6210002899169922,10,"[np.int64(7), np.int64(8), np.int64(11), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(27), np.int64(28), np.int64(29)]"
5,0.9824561403508771,0.9722222222222222,0.982316550870848,0.97182531580755,0.630000114440918,10,"[np.int64(2), np.int64(7), np.int64(8), np.int64(11), np.int64(21), np.int64(22), np.int64(24), np.int64(25), np.int64(28), np.int64(29)]"
6,0.9473684210526315,0.944375,0.9472362224241924,0.9440603794249602,0.6243112087249756,8,"[np.int64(2), np.int64(7), np.int64(8), np.int64(22), np.int64(24), np.int64(25), np.int64(27), np.int64(29)]"
7,0.9824561403508771,0.9705882352941176,0.9822986197255202,0.9701425001453319,0.6253705024719238,12,"[np.int64(2), np.int64(7), np.int64(8), np.int64(11), np.int64(13), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(27), np.int64(28), np.int64(29)]"
8,1.0,1.0,1.0,1.0,0.6400001049041748,10,"[np.int64(2), np.int64(7), np.int64(8), np.int64(11), np.int64(22), np.int64(24), np.int64(25), np.int64(27), np.int64(28), np.int64(29)]"
9,0.9649122807017544,0.962962962962963,0.9648034478255192,0.9622504486493763,0.624000072479248,11,"[np.int64(2), np.int64(7), np.int64(8), np.int64(13), np.int64(14), np.int64(22), np.int64(24), np.int64(25), np.int64(27), np.int64(28), np.int64(29)]"
10,0.9285714285714286,0.907539118065434,0.9275271512113618,0.905177143685657,0.6265890598297119,10,"[np.int64(7), np.int64(8), np.int64(11), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(27), np.int64(28), np.int64(29)]"
