fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9298245614035088,0.9321646341463415,0.9310113519091846,0.932149365190145,0.6370000839233398,8,"[1, 8, 21, 22, 25, 27, 28, 29]"
2,0.8947368421052632,0.9166666666666667,0.8965311004784688,0.9128709291752769,0.631000280380249,7,"[2, 8, 21, 22, 27, 28, 29]"
3,0.8947368421052632,0.9268292682926829,0.8988919667590027,0.9239364353597956,0.6426503658294678,9,"[1, 2, 8, 21, 22, 25, 27, 28, 29]"
4,0.9298245614035088,0.9534883720930233,0.9324989302524603,0.9523532664857335,0.6430001258850098,8,"[1, 2, 8, 21, 22, 25, 28, 29]"
5,0.9122807017543859,0.919969512195122,0.9143745439548239,0.9198024708413506,0.6450002193450928,8,"[1, 2, 8, 21, 22, 25, 28, 29]"
6,0.8947368421052632,0.8968253968253967,0.8956254272043745,0.8967902788460657,0.6489999294281006,9,"[1, 2, 8, 21, 22, 25, 27, 28, 29]"
7,0.9298245614035088,0.9095238095238095,0.9298245614035088,0.9085135251589959,0.6425912380218506,8,"[1, 8, 21, 22, 25, 27, 28, 29]"
8,0.9824561403508771,0.984375,0.9824889019935459,0.9842509842514764,0.6043238639831543,8,"[2, 8, 21, 22, 25, 26, 27, 28]"
9,0.8070175438596491,0.825974025974026,0.8095401903451438,0.8217814036133182,0.6410002708435059,8,"[1, 2, 8, 11, 22, 25, 28, 29]"
10,0.9642857142857143,0.9736842105263158,0.9647429384271489,0.9733285267845752,0.6355504989624023,7,"[2, 8, 21, 22, 25, 27, 28]"
