fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7096774193548387,0.7393162393162394,0.7272727272727273,0.716114874039433,0.026462078094482422,9,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
2,0.9032258064516129,0.9054621848739496,0.896551724137931,0.9051672392947266,0.01177978515625,9,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
3,0.7419354838709677,0.7434210526315791,0.6923076923076923,0.7433919416750281,0.02427983283996582,6,"[np.int64(2), np.int64(3), np.int64(9), np.int64(11), np.int64(12), np.int64(13)]"
4,0.7333333333333333,0.7511961722488039,0.6923076923076923,0.7482035902347646,0.020911216735839844,6,"[np.int64(2), np.int64(3), np.int64(9), np.int64(11), np.int64(12), np.int64(13)]"
5,0.8,0.8,0.7857142857142857,0.7972173828734265,0.015624523162841797,6,"[np.int64(2), np.int64(3), np.int64(9), np.int64(11), np.int64(12), np.int64(13)]"
6,0.8333333333333334,0.875,0.8,0.8660254037844386,0.015626192092895508,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
7,0.7666666666666667,0.7361111111111112,0.6666666666666666,0.7200822998230956,0.03586173057556152,9,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
8,0.8,0.8144796380090499,0.8,0.8072073527955751,0.01562356948852539,6,"[np.int64(2), np.int64(3), np.int64(9), np.int64(11), np.int64(12), np.int64(13)]"
9,0.7666666666666667,0.738095238095238,0.631578947368421,0.7346308866924529,0.03210282325744629,8,"[np.int64(2), np.int64(3), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
10,0.7666666666666667,0.7775119617224882,0.72,0.7764475599788625,0.031304359436035156,6,"[np.int64(2), np.int64(3), np.int64(9), np.int64(11), np.int64(12), np.int64(13)]"
