fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,1.0,1.0,1.0,1.0,0.3364262580871582,7,"[66, 377, 493, 897, 1423, 1873, 1895]"
2,0.6666666666666666,0.625,0.6666666666666666,0.6123724356957945,0.367722749710083,5,"[66, 377, 988, 1423, 1976]"
3,0.8333333333333334,0.75,0.8148148148148148,0.7071067811865476,0.34794187545776367,5,"[66, 377, 493, 897, 1423]"
4,0.5,0.625,0.45714285714285713,0.5,0.40620851516723633,6,"[377, 493, 1635, 1873, 1895, 1976]"
5,0.8333333333333334,0.875,0.8380952380952381,0.8660254037844386,0.3437769412994385,7,"[66, 377, 897, 1423, 1644, 1873, 1976]"
6,0.16666666666666666,0.125,0.19047619047619047,0.0,0.3468339443206787,6,"[249, 493, 1423, 1836, 1873, 1895]"
7,0.5,0.375,0.4444444444444444,0.0,0.3600442409515381,6,"[66, 897, 1423, 1482, 1873, 1895]"
8,0.6666666666666666,0.625,0.6666666666666666,0.6123724356957945,0.34415149688720703,9,"[66, 286, 493, 897, 1355, 1423, 1482, 1895, 1976]"
9,0.8333333333333334,0.75,0.8148148148148148,0.7071067811865476,0.36136531829833984,8,"[286, 493, 897, 1423, 1482, 1873, 1895, 1976]"
10,0.6666666666666666,0.8,0.7083333333333334,0.7745966692414834,0.3914029598236084,8,"[493, 765, 897, 1423, 1644, 1873, 1892, 1976]"
