fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8571428571428571,0.875,0.8571428571428571,0.8660254037844386,0.3489646911621094,4,"[249, 377, 493, 1644]"
2,0.8333333333333334,0.75,0.8148148148148148,0.7071067811865476,0.3561573028564453,3,"[249, 377, 493]"
3,1.0,1.0,1.0,1.0,0.39267516136169434,4,"[249, 377, 822, 1644]"
4,0.5,0.5,0.5142857142857142,0.5,0.344531774520874,7,"[66, 249, 377, 493, 822, 897, 1644]"
5,1.0,1.0,1.0,1.0,0.3440885543823242,3,"[249, 377, 493]"
6,0.6666666666666666,0.625,0.6666666666666666,0.6123724356957945,0.34598374366760254,2,"[249, 377]"
7,0.5,0.375,0.4444444444444444,0.0,0.34553027153015137,3,"[249, 377, 493]"
8,0.8333333333333334,0.75,0.8148148148148148,0.7071067811865476,0.3439602851867676,5,"[249, 377, 493, 822, 1644]"
9,0.5,0.5,0.5142857142857142,0.5,0.39265012741088867,6,"[66, 249, 377, 765, 822, 1644]"
10,0.8333333333333334,0.75,0.8148148148148148,0.7071067811865476,0.359266996383667,5,"[249, 377, 493, 822, 1644]"
