fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8571428571428571,0.8333333333333333,0.8507936507936508,0.816496580927726,0.3468630313873291,9,"[249, 377, 493, 765, 988, 1423, 1873, 1895, 1976]"
2,0.8333333333333334,0.5,0.7575757575757575,0.0,0.3526027202606201,12,"[119, 249, 286, 377, 765, 897, 1417, 1423, 1482, 1644, 1895, 1909]"
3,1.0,1.0,1.0,1.0,0.3544793128967285,10,"[249, 286, 377, 493, 765, 897, 1423, 1644, 1873, 1895]"
4,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.35485363006591797,8,"[249, 493, 765, 897, 1423, 1482, 1836, 1873]"
5,0.5,0.5,0.5142857142857142,0.5,0.4076371192932129,8,"[249, 493, 765, 897, 1417, 1423, 1644, 1836]"
6,1.0,1.0,1.0,1.0,0.34592366218566895,11,"[286, 377, 493, 765, 897, 1423, 1644, 1668, 1873, 1895, 1976]"
7,0.6666666666666666,0.625,0.6666666666666666,0.6123724356957945,0.34789037704467773,9,"[286, 377, 415, 765, 897, 1417, 1482, 1873, 1895]"
8,1.0,1.0,1.0,1.0,0.3494560718536377,11,"[119, 249, 286, 377, 493, 765, 897, 1423, 1644, 1873, 1895]"
9,0.8333333333333334,0.8333333333333334,0.8285714285714286,0.816496580927726,0.3435022830963135,11,"[66, 249, 286, 377, 493, 765, 897, 1411, 1417, 1644, 1668]"
10,1.0,1.0,1.0,1.0,0.3448476791381836,8,"[119, 249, 493, 765, 897, 1423, 1644, 1895]"
