fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,1.0,1.0,1.0,1.0,0.3447401523590088,10,"[286, 493, 523, 765, 897, 1355, 1423, 1873, 1895, 1976]"
2,0.6666666666666666,0.625,0.6666666666666666,0.6123724356957945,0.3323647975921631,7,"[765, 897, 988, 1355, 1423, 1482, 1976]"
3,1.0,1.0,1.0,1.0,0.39133739471435547,10,"[66, 493, 523, 765, 822, 897, 1423, 1482, 1895, 1976]"
4,0.6666666666666666,0.75,0.6666666666666666,0.7071067811865476,0.3586270809173584,14,"[286, 377, 493, 765, 822, 839, 897, 1355, 1423, 1482, 1873, 1892, 1895, 1976]"
5,1.0,1.0,1.0,1.0,0.34587574005126953,11,"[493, 765, 897, 1355, 1423, 1482, 1644, 1819, 1873, 1895, 1976]"
6,0.16666666666666666,0.125,0.19047619047619047,0.0,0.36048173904418945,8,"[249, 493, 1355, 1423, 1644, 1836, 1873, 1895]"
7,0.5,0.375,0.4444444444444444,0.0,0.344710111618042,8,"[66, 493, 897, 1423, 1482, 1819, 1895, 1976]"
8,0.5,0.5,0.5142857142857142,0.5,0.34656310081481934,10,"[493, 897, 1355, 1423, 1482, 1504, 1671, 1819, 1895, 1976]"
9,0.8333333333333334,0.75,0.8148148148148148,0.7071067811865476,0.40673112869262695,12,"[286, 493, 765, 897, 1355, 1423, 1482, 1504, 1873, 1895, 1967, 1976]"
10,0.6666666666666666,0.8,0.7083333333333334,0.7745966692414834,0.35933756828308105,11,"[493, 765, 897, 988, 1423, 1482, 1644, 1892, 1895, 1967, 1976]"
