fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7272727272727273,0.7253846153846154,0.7341784639668525,0.7253646297923866,0.04617905616760254,5,"[1, 2, 6, 7, 8]"
2,0.7532467532467533,0.755,0.7594948007319141,0.754983443527075,0.09707236289978027,5,"[1, 2, 6, 7, 8]"
3,0.7272727272727273,0.7669230769230768,0.7357586233990728,0.7585411098843723,0.04747271537780762,5,"[1, 2, 6, 7, 8]"
4,0.6493506493506493,0.678076923076923,0.6602610872273793,0.6731098893025738,0.046930789947509766,5,"[1, 2, 6, 7, 8]"
5,0.6753246753246753,0.7284615384615384,0.683739108291538,0.7125253031944253,0.046871185302734375,5,"[1, 2, 6, 7, 8]"
6,0.7142857142857143,0.695,0.7191534391534391,0.6928203230275509,0.0468747615814209,5,"[1, 2, 6, 7, 8]"
7,0.6883116883116883,0.7175716440422323,0.6965761511216058,0.71188997065329,0.062485456466674805,5,"[1, 2, 6, 7, 8]"
8,0.7368421052631579,0.7223529411764705,0.7412181246767713,0.7211102550927979,0.051056623458862305,5,"[1, 2, 6, 7, 8]"
9,0.6842105263157895,0.7137254901960784,0.6936303827751197,0.7084919084320762,0.046871185302734375,5,"[1, 2, 6, 7, 8]"
10,0.7631578947368421,0.7725490196078432,0.7694134455728462,0.7720611577929232,0.046872854232788086,5,"[1, 2, 6, 7, 8]"
