fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6944444444444444,0.725,0.6755769402120646,0.6708203932499369,0.044998884201049805,13,"[1, 3, 4, 5, 7, 8, 9, 11, 14, 16, 18, 25, 33]"
2,0.7428571428571429,0.701048951048951,0.7342936434518303,0.6819347219748859,0.04499936103820801,14,"[1, 3, 4, 5, 7, 8, 9, 11, 12, 14, 18, 25, 31, 33]"
3,0.7714285714285715,0.75,0.7642357642357642,0.7348469228349535,0.043610334396362305,13,"[1, 3, 4, 5, 6, 7, 9, 10, 14, 18, 25, 31, 33]"
4,0.6,0.575,0.5874125874125874,0.5477225575051662,0.04399991035461426,13,"[1, 3, 5, 6, 7, 8, 9, 12, 14, 18, 23, 31, 33]"
5,0.6285714285714286,0.6134868421052632,0.6157745785652763,0.5877029324770341,0.04400014877319336,15,"[1, 3, 4, 5, 6, 7, 8, 9, 14, 16, 18, 25, 26, 31, 33]"
6,0.7428571428571429,0.6699999999999999,0.738611233967271,0.648074069840786,0.07579684257507324,11,"[1, 3, 4, 5, 7, 9, 11, 14, 16, 18, 33]"
7,0.7428571428571429,0.7666666666666666,0.7399087399087401,0.7483314773547882,0.04500007629394531,11,"[1, 3, 4, 5, 7, 8, 12, 14, 18, 20, 33]"
8,0.9142857142857143,0.9,0.9125138427464009,0.8944271909999159,0.04499959945678711,12,"[1, 3, 5, 6, 7, 8, 9, 11, 12, 18, 23, 33]"
9,0.8285714285714286,0.76,0.8223443223443222,0.7429670248402684,0.04400014877319336,12,"[1, 3, 4, 5, 6, 7, 8, 9, 12, 14, 18, 31]"
10,0.8,0.7619047619047619,0.7888991674375578,0.7377111135633174,0.04499983787536621,11,"[1, 3, 4, 5, 7, 8, 14, 15, 16, 18, 33]"
