fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7952380952380953,0.8044640470462442,0.7928249671720918,0.04484963417053223,12,"[1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 25, 31]"
2,0.8285714285714286,0.8095238095238095,0.8258741258741259,0.8039020483873397,0.042856454849243164,13,"[1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 20, 31, 33]"
3,0.8,0.75,0.780952380952381,0.7071067811865476,0.07973265647888184,11,"[1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 25]"
4,0.8,0.7619047619047619,0.7888991674375578,0.7377111135633174,0.04185986518859863,12,"[1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 20, 31]"
5,0.8571428571428571,0.8333333333333333,0.8533333333333334,0.8247860988423225,0.04285621643066406,11,"[1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 31]"
6,0.8,0.7738095238095237,0.7946666666666666,0.7626484465736652,0.04185962677001953,13,"[1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 20, 25, 31]"
7,0.8571428571428571,0.8214285714285714,0.849213691026827,0.8017837257372732,0.04285693168640137,13,"[1, 3, 4, 5, 7, 8, 9, 10, 14, 15, 18, 20, 31]"
8,0.9428571428571428,0.9285714285714286,0.9419580419580419,0.9258200997725514,0.042856693267822266,12,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 14, 18, 31]"
9,0.8285714285714286,0.8083333333333333,0.8231768231768233,0.7958224257542215,0.04285717010498047,13,"[1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 20, 25, 31]"
10,0.7714285714285715,0.75,0.7642357642357642,0.7348469228349535,0.042856693267822266,12,"[1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 20, 31]"
