fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6666666666666666,0.6681818181818181,0.6666666666666666,0.6674238124719146,0.038839101791381836,14,"[3, 9, 11, 12, 19, 20, 21, 22, 24, 28, 42, 43, 46, 49]"
2,0.6190476190476191,0.6136363636363636,0.6137566137566137,0.6030226891555273,0.040863037109375,13,"[3, 9, 11, 12, 20, 21, 22, 24, 28, 43, 44, 46, 49]"
3,0.5714285714285714,0.5636363636363636,0.5593277310924369,0.5393598899705937,0.038869619369506836,12,"[3, 5, 10, 12, 21, 23, 28, 41, 43, 44, 46, 47]"
4,0.7142857142857143,0.7227272727272727,0.7063492063492063,0.7006490497453707,0.03887057304382324,12,"[4, 5, 9, 12, 20, 21, 22, 28, 29, 43, 44, 46]"
5,0.6190476190476191,0.6181818181818182,0.6190476190476191,0.6179143806533246,0.0408632755279541,15,"[3, 4, 5, 9, 11, 12, 20, 21, 22, 23, 28, 43, 44, 46, 49]"
6,0.8571428571428571,0.85,0.853109243697479,0.8366600265340756,0.038869619369506836,14,"[3, 4, 9, 12, 20, 21, 22, 23, 28, 43, 44, 45, 46, 49]"
7,0.6666666666666666,0.6590909090909092,0.6572549019607843,0.6396021490668313,0.03986668586730957,14,"[3, 9, 12, 21, 22, 23, 28, 29, 43, 45, 46, 49, 51, 60]"
8,0.6190476190476191,0.6136363636363636,0.6137566137566137,0.6030226891555273,0.0787363052368164,14,"[4, 5, 9, 11, 12, 20, 21, 22, 23, 28, 43, 44, 47, 49]"
9,0.7,0.7,0.6875,0.6708203932499369,0.03986644744873047,15,"[1, 3, 4, 5, 9, 11, 12, 20, 21, 22, 28, 43, 44, 46, 49]"
10,0.8,0.787878787878788,0.7958333333333334,0.7784989441615229,0.0408632755279541,16,"[1, 3, 4, 9, 11, 12, 20, 21, 22, 23, 28, 29, 43, 44, 46, 49]"
