fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.7740384615384615,0.8027210884353742,0.75955452531275,0.0410003662109375,13,"[1, 5, 12, 21, 28, 29, 43, 45, 47, 49, 53, 54, 59]"
2,0.6190476190476191,0.68125,0.6465201465201466,0.6708203932499369,0.04199957847595215,17,"[1, 4, 5, 11, 12, 21, 22, 27, 28, 29, 30, 44, 47, 49, 51, 52, 54]"
3,0.5714285714285714,0.5590909090909092,0.5396825396825397,0.4954336943068623,0.03860068321228027,11,"[4, 9, 12, 21, 28, 29, 45, 46, 47, 49, 54]"
4,0.7619047619047619,0.7836538461538461,0.7651738040754059,0.7783117824941562,0.038999319076538086,11,"[5, 11, 12, 21, 28, 29, 47, 49, 52, 53, 59]"
5,0.7142857142857143,0.7272727272727273,0.6936813186813188,0.674199862463242,0.03800058364868164,13,"[2, 4, 12, 21, 28, 39, 43, 47, 49, 52, 53, 54, 58]"
6,0.7619047619047619,0.7142857142857143,0.7568523430592397,0.6998542122237651,0.037999868392944336,14,"[1, 5, 12, 21, 28, 29, 45, 47, 49, 51, 53, 54, 56, 59]"
7,0.6666666666666666,0.6590909090909092,0.6572549019607843,0.6396021490668313,0.03899955749511719,15,"[1, 4, 12, 21, 28, 29, 30, 39, 43, 45, 47, 49, 52, 54, 59]"
8,0.6190476190476191,0.6318181818181818,0.5915750915750916,0.5720775535473553,0.03899884223937988,11,"[5, 12, 21, 28, 29, 45, 49, 52, 53, 54, 59]"
9,0.85,0.8434343434343434,0.848849104859335,0.8408749651825217,0.039000749588012695,14,"[1, 11, 12, 21, 28, 29, 44, 47, 49, 52, 53, 54, 58, 59]"
10,0.65,0.6458333333333333,0.6526854219948849,0.6454972243679028,0.040000200271606445,12,"[1, 5, 9, 12, 21, 28, 29, 47, 49, 52, 54, 59]"
