fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9824561403508771,0.9857142857142857,0.9825239427070089,0.9856107606091623,0.06478333473205566,9,"[2, 8, 11, 22, 24, 25, 27, 28, 29]"
2,0.9824561403508771,0.9857142857142857,0.9825239427070089,0.9856107606091623,0.06378650665283203,10,"[8, 11, 15, 21, 22, 24, 25, 27, 28, 29]"
3,0.9473684210526315,0.9384920634920634,0.947087062795646,0.9378857231185629,0.0627899169921875,10,"[7, 8, 11, 14, 15, 22, 24, 25, 27, 29]"
4,0.9298245614035088,0.9047619047619048,0.92797783933518,0.8997354108424374,0.062084197998046875,12,"[2, 7, 8, 11, 21, 22, 23, 24, 25, 27, 28, 29]"
5,0.9824561403508771,0.9761904761904762,0.9823623542652152,0.9759000729485332,0.061792612075805664,11,"[2, 7, 8, 11, 21, 22, 24, 25, 27, 28, 29]"
6,0.9649122807017544,0.9523809523809523,0.9645092460881936,0.9511897312113419,0.0627899169921875,11,"[2, 7, 8, 11, 15, 22, 24, 25, 27, 28, 29]"
7,0.9824561403508771,0.9761904761904762,0.9823623542652152,0.9759000729485332,0.0627901554107666,12,"[7, 8, 11, 15, 21, 22, 23, 24, 25, 27, 28, 29]"
8,0.9824561403508771,0.986111111111111,0.982536590411502,0.9860132971832694,0.10564613342285156,13,"[2, 7, 8, 11, 14, 21, 22, 23, 24, 25, 27, 28, 29]"
9,0.9649122807017544,0.9523809523809523,0.9645092460881936,0.9511897312113419,0.06246519088745117,11,"[2, 8, 11, 14, 15, 22, 24, 25, 27, 28, 29]"
10,1.0,1.0,1.0,1.0,0.0627901554107666,10,"[2, 7, 8, 11, 22, 24, 25, 27, 28, 29]"
