fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9298245614035088,0.9321646341463415,0.9310113519091846,0.932149365190145,0.06800007820129395,10,"[1, 2, 8, 15, 21, 22, 25, 27, 28, 29]"
2,0.8771929824561403,0.9027777777777778,0.8793522267206477,0.8975274678557507,0.06800007820129395,11,"[1, 2, 8, 15, 21, 22, 25, 27, 28, 29, 30]"
3,0.9122807017543859,0.9390243902439024,0.9153596522017575,0.9370425713316364,0.06599950790405273,10,"[1, 2, 8, 15, 21, 22, 25, 27, 28, 29]"
4,0.9298245614035088,0.9534883720930233,0.9324989302524603,0.9523532664857335,0.06399965286254883,10,"[1, 2, 8, 15, 21, 22, 25, 27, 28, 29]"
5,0.9298245614035088,0.9321646341463415,0.9310113519091846,0.932149365190145,0.06600022315979004,10,"[1, 2, 8, 15, 21, 22, 25, 27, 28, 29]"
6,0.8421052631578947,0.8551587301587302,0.8446123247146128,0.8537189109045078,0.06599974632263184,12,"[1, 2, 8, 15, 19, 21, 22, 25, 27, 28, 29, 30]"
7,0.9298245614035088,0.9095238095238095,0.9298245614035088,0.9085135251589959,0.10000014305114746,10,"[1, 2, 8, 15, 21, 22, 25, 28, 29, 30]"
8,0.9824561403508771,0.984375,0.9824889019935459,0.9842509842514764,0.06699991226196289,12,"[1, 2, 8, 15, 19, 21, 22, 25, 27, 28, 29, 30]"
9,0.8070175438596491,0.825974025974026,0.8095401903451438,0.8217814036133182,0.06699991226196289,11,"[1, 2, 8, 11, 15, 19, 21, 22, 25, 28, 29]"
10,0.9642857142857143,0.9736842105263158,0.9647429384271489,0.9733285267845752,0.06579113006591797,10,"[1, 2, 8, 15, 21, 22, 25, 27, 28, 29]"
