fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.5974025974025974,0.6084615384615384,0.5079365079365079,0.6076436202501999,0.08477234840393066,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.6623376623376623,0.6791101055806938,0.59375,0.677142429837753,0.07876205444335938,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.5454545454545454,0.5793859649122807,0.4262295081967213,0.5750667390711838,0.07798552513122559,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.7402597402597403,0.7661538461538461,0.6774193548387096,0.762586691162691,0.07825398445129395,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.7142857142857143,0.6934210526315789,0.5416666666666666,0.6920602346769048,0.07666969299316406,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.6493506493506493,0.6477272727272727,0.6086956521739131,0.6476275840352276,0.07517695426940918,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.6883116883116883,0.6791666666666668,0.625,0.67700320038633,0.08072638511657715,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.618421052631579,0.6538461538461539,0.5538461538461539,0.6467373738769322,0.08344221115112305,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.6578947368421053,0.6826923076923078,0.5806451612903226,0.6793662204867574,0.07777857780456543,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.6842105263157895,0.7131410256410255,0.6129032258064516,0.7088045189993121,0.13422679901123047,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
