fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7157692307692307,0.7220853858784894,0.7157567270432688,0.05381965637207031,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.7662337662337663,0.7646153846153846,0.7716008481314603,0.7646014547562571,0.05481696128845215,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.7272727272727273,0.7669230769230768,0.7357586233990728,0.7585411098843723,0.05481672286987305,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.6493506493506493,0.678076923076923,0.6602610872273793,0.6731098893025738,0.05481672286987305,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.6883116883116883,0.7380769230769231,0.6969460088475136,0.7243033788512826,0.0536191463470459,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.7142857142857143,0.695,0.7191534391534391,0.6928203230275509,0.053819894790649414,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.6883116883116883,0.7081447963800904,0.6967532467532467,0.7055051782666701,0.052823543548583984,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.7368421052631579,0.7223529411764705,0.7412181246767713,0.7211102550927979,0.05282330513000488,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.7105263157894737,0.7537254901960784,0.7186862505099958,0.7430725824205183,0.053418636322021484,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.7763157894736842,0.7823529411764706,0.7818097876269621,0.7821538888750429,0.08670949935913086,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
