fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8311688311688312,0.7747641509433962,0.6976744186046512,0.7601514248353713,0.062000274658203125,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
2,0.7402597402597403,0.7040816326530612,0.6153846153846154,0.6914724222896904,0.06000018119812012,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
3,0.7922077922077922,0.677133655394525,0.5294117647058824,0.6138498140448513,0.05899953842163086,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
4,0.7012987012987013,0.6462264150943396,0.5106382978723404,0.6294651817966898,0.06399989128112793,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
5,0.8311688311688312,0.759090909090909,0.6666666666666666,0.7402255631208102,0.057000160217285156,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
6,0.7662337662337663,0.7321428571428572,0.6538461538461539,0.7213932098830055,0.05700063705444336,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
7,0.7272727272727273,0.6899305555555556,0.5882352941176471,0.6535161308899218,0.06200003623962402,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
8,0.6578947368421053,0.5824446267432322,0.4090909090909091,0.5501882741367168,0.06400012969970703,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
9,0.6973684210526315,0.5715488215488215,0.34285714285714286,0.4872101572973796,0.05900001525878906,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
10,0.8026315789473685,0.7407843137254903,0.6511627906976745,0.7183859905180147,0.06800007820129395,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
