fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6493506493506493,0.6874074074074075,0.6554199237043289,0.6754970734920295,0.055728912353515625,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
2,0.7402597402597403,0.7423469387755102,0.7443580262654595,0.7423074889580903,0.05800008773803711,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
3,0.6493506493506493,0.6676923076923078,0.6604823747680891,0.665640235470275,0.05323076248168945,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
4,0.8181818181818182,0.8181818181818181,0.8238461538461538,0.8181818181818182,0.055840253829956055,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
5,0.7402597402597403,0.75,0.744949494949495,0.7491491772643939,0.05334115028381348,4,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7)]"
6,0.6883116883116883,0.6856060606060607,0.6892710572601133,0.6853444168423419,0.059241533279418945,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
7,0.8441558441558441,0.862962962962963,0.8474344729604197,0.8606629658238705,0.05398440361022949,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
8,0.7272727272727273,0.7508771929824561,0.7431686564882903,0.7492686492653552,0.061606407165527344,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
9,0.7105263157894737,0.7103942652329749,0.7125662994696043,0.7103939035548414,0.06200051307678223,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
10,0.7236842105263158,0.7524565381708239,0.7293609352617715,0.7458628650457607,0.05500030517578125,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
