fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7402597402597403,0.7543238993710693,0.7491230034333483,0.7533990064322369,0.08645963668823242,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.6623376623376623,0.6863207547169812,0.6747691298883445,0.6833601774141304,0.06498193740844727,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.5974025974025974,0.6049528301886793,0.6121637924916612,0.6046205733646921,0.06308436393737793,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.7142857142857143,0.7012578616352201,0.7215873015873017,0.7004041959724748,0.06249523162841797,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.7402597402597403,0.7315251572327045,0.7468975468975471,0.7311574351455051,0.062494754791259766,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.7532467532467533,0.7637578616352201,0.7612799571562459,0.7632477774689689,0.06249260902404785,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.7012987012987013,0.726923076923077,0.7107812822098537,0.723240570679579,0.06249213218688965,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.6578947368421053,0.6826923076923078,0.6699113374834937,0.6793662204867574,0.04692721366882324,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.6973684210526315,0.7451923076923077,0.7073758667225092,0.7337993857053429,0.04775047302246094,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.631578947368421,0.6298076923076923,0.6437425184384292,0.6297893420697236,0.06304001808166504,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
