fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9444444444444444,0.9230769230769231,0.9432870370370371,0.9198662110077999,0.07053923606872559,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
2,0.9428571428571428,0.9166666666666667,0.9414502164502165,0.9128709291752769,0.05678415298461914,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
3,0.9428571428571428,0.9365942028985507,0.9428571428571428,0.9363821838346235,0.06146240234375,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
4,0.8857142857142857,0.8333333333333334,0.8788571428571429,0.816496580927726,0.06923174858093262,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
5,0.9142857142857143,0.875,0.9107871720116618,0.8660254037844386,0.05849599838256836,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
6,0.8571428571428571,0.8234265734265734,0.8523853574732391,0.8129201441957019,0.06164669990539551,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
7,0.8571428571428571,0.8234265734265734,0.8523853574732391,0.8129201441957019,0.06023716926574707,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
8,0.9142857142857143,0.8846153846153846,0.9114312144839434,0.8770580193070292,0.060389041900634766,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
9,0.8285714285714286,0.8006993006993007,0.8251552795031056,0.7933288280219176,0.059799909591674805,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
10,0.8285714285714286,0.784965034965035,0.82012987012987,0.7664284620319025,0.06079697608947754,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
