fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9354838709677419,0.9337606837606838,0.9354838709677419,0.9336995618478525,0.06599998474121094,4,"[3, 10, 12, 13]"
2,0.8064516129032258,0.7983193277310925,0.8043837882547561,0.7938841860374447,0.0559999942779541,4,"[3, 10, 12, 13]"
3,0.6774193548387096,0.6794871794871796,0.6794524261317431,0.6793662204867574,0.09558820724487305,4,"[7, 10, 12, 13]"
4,0.8,0.7963800904977375,0.8,0.7959171834405434,0.05500006675720215,4,"[3, 10, 12, 13]"
5,0.8,0.8,0.7991071428571428,0.7972173828734265,0.09904050827026367,4,"[3, 10, 12, 13]"
6,0.8666666666666667,0.8947368421052632,0.869079939668175,0.8885233166386386,0.10800457000732422,4,"[3, 10, 12, 13]"
7,0.7666666666666667,0.7222222222222221,0.7501925545571244,0.6871842709362768,0.06400012969970703,4,"[3, 10, 12, 13]"
8,0.8,0.8333333333333333,0.8,0.816496580927726,0.07599973678588867,4,"[3, 10, 12, 13]"
9,0.8,0.7916666666666667,0.8,0.7905694150420949,0.057000160217285156,4,"[3, 10, 12, 13]"
10,0.8333333333333334,0.8257918552036198,0.8323809523809523,0.8238525545716346,0.12404823303222656,4,"[3, 10, 12, 13]"
