fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8064516129032258,0.811965811965812,0.8076714556790457,0.8112457445926345,0.05800032615661621,3,"[10, 12, 13]"
2,0.7741935483870968,0.7689075630252101,0.7732377538829153,0.7669649888473704,0.07800579071044922,3,"[10, 12, 13]"
3,0.6451612903225806,0.6410256410256411,0.646663253114866,0.6405126152203485,0.07152390480041504,3,"[10, 12, 13]"
4,0.8666666666666667,0.8733031674208145,0.8672619047619048,0.8718835905527257,0.054000139236450195,3,"[10, 12, 13]"
5,0.8333333333333334,0.8333333333333334,0.8331479421579533,0.8326663997864531,0.11300015449523926,3,"[10, 12, 13]"
6,0.7333333333333333,0.7511961722488039,0.7381598793363499,0.7482035902347646,0.06159329414367676,3,"[3, 10, 13]"
7,0.6666666666666666,0.625,0.65,0.5892556509887896,0.10800552368164062,3,"[10, 12, 13]"
8,0.8333333333333334,0.8611111111111112,0.8342602892102337,0.8498365855987975,0.058003902435302734,3,"[10, 12, 13]"
9,0.7333333333333333,0.7222222222222222,0.7333333333333333,0.7200822998230956,0.10800004005432129,3,"[10, 12, 13]"
10,0.8666666666666667,0.8642533936651584,0.8666666666666667,0.864063848822313,0.058001041412353516,3,"[10, 12, 13]"
