fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8387096774193549,0.8397435897435898,0.8393923877794844,0.8397191227596316,0.10799956321716309,1,[13]
2,0.8387096774193549,0.834033613445378,0.8380269670592251,0.8326327587384307,0.06799983978271484,1,[13]
3,0.7096774193548387,0.7072649572649572,0.7109062980030721,0.7071067811865476,0.09600019454956055,1,[13]
4,0.7333333333333333,0.7285067873303167,0.7333333333333333,0.7276068751089988,0.07288622856140137,1,[13]
5,0.7333333333333333,0.7333333333333334,0.7321428571428572,0.7302967433402214,0.09903502464294434,1,[13]
6,0.8,0.8229665071770336,0.8036199095022625,0.8184475910711347,0.08699941635131836,1,[13]
7,0.6666666666666666,0.6527777777777778,0.6666666666666666,0.6490734136415512,0.1249995231628418,1,[13]
8,0.8,0.8194444444444444,0.8017857142857143,0.8136565842153783,0.08559846878051758,1,[13]
9,0.7,0.6527777777777778,0.6788189987163029,0.6085806194501846,0.12000107765197754,1,[13]
10,0.8,0.7963800904977375,0.8,0.7959171834405434,0.07500052452087402,1,[13]
