fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8064516129032258,0.8012820512820513,0.8064516129032258,0.8006407690254357,0.043656349182128906,10,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 13]"
2,0.6774193548387096,0.6901709401709403,0.678763440860215,0.6856277926728687,0.04975628852844238,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
3,0.8064516129032258,0.811965811965812,0.8076714556790457,0.8112457445926345,0.04754185676574707,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
4,0.8,0.8194444444444444,0.8017857142857143,0.8136565842153783,0.03263664245605469,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
5,0.6333333333333333,0.5972222222222222,0.6212454212454211,0.5692750425533111,0.07811689376831055,11,"[1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13]"
6,0.8,0.7916666666666667,0.8,0.7905694150420949,0.039919137954711914,10,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 13]"
7,0.8,0.7916666666666667,0.8,0.7905694150420949,0.03091907501220703,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
8,0.7666666666666667,0.7916666666666667,0.7679644048943269,0.7817359599705715,0.04686999320983887,9,"[1, 2, 3, 4, 7, 9, 11, 12, 13]"
9,0.7333333333333333,0.736111111111111,0.7357466063348416,0.7359800721939872,0.04687070846557617,10,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 13]"
10,0.8333333333333334,0.8348416289592759,0.8338945005611672,0.8347649844031075,0.03127336502075195,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
