fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.5454545454545454,0.5284615384615384,0.5585921660854756,0.5262348115842175,0.12760090827941895,2,"[2, 8]"
2,0.5844155844155844,0.6014328808446455,0.5954348681621409,0.5991446895152781,0.11099958419799805,2,"[2, 6]"
3,0.5974025974025974,0.5657894736842105,0.6193220447932042,0.5619514869490163,0.1920006275177002,2,"[1, 2]"
4,0.7142857142857143,0.7157692307692307,0.7220853858784894,0.7157567270432688,0.12804174423217773,2,"[1, 2]"
5,0.6883116883116883,0.6758771929824561,0.7044955044955045,0.6753816335059705,0.14243626594543457,2,"[2, 6]"
6,0.5974025974025974,0.5909090909090908,0.5980932774550891,0.5891582453098054,0.10359454154968262,2,"[1, 2]"
7,0.6363636363636364,0.6211805555555556,0.6344511028943006,0.6146362971528592,0.17164921760559082,2,"[2, 6]"
8,0.6578947368421053,0.6602564102564102,0.6691894814071129,0.6602252917735247,0.11800003051757812,2,"[2, 8]"
9,0.6447368421052632,0.6730769230769231,0.6570921686238067,0.6686668711812965,0.11299848556518555,2,"[1, 2]"
10,0.6710526315789473,0.6586538461538461,0.6801164109899868,0.6577935144802719,0.1120002269744873,2,"[2, 8]"
