fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6623376623376623,0.6253846153846154,0.6655207537560479,0.6164414002968976,0.07353901863098145,4,"[1, 2, 6, 8]"
2,0.5974025974025974,0.5876923076923077,0.609038775675707,0.5870395085642742,0.14065098762512207,4,"[2, 6, 7, 8]"
3,0.6753246753246753,0.6973076923076923,0.6856318284889714,0.6944837595708716,0.12494516372680664,4,"[1, 2, 6, 7]"
4,0.6623376623376623,0.698076923076923,0.6725698543880363,0.6905961749988752,0.10051870346069336,4,"[2, 6, 7, 8]"
5,0.6883116883116883,0.7269984917043741,0.6959866398990886,0.7171672109393007,0.10792779922485352,4,"[1, 2, 6, 7]"
6,0.5584415584415584,0.5629713423831071,0.570400432900433,0.5627984376737055,0.09374022483825684,4,"[1, 2, 6, 8]"
7,0.7142857142857143,0.6994720965309201,0.7186588921282798,0.6979824404521128,0.1883249282836914,4,"[1, 2, 6, 7]"
8,0.618421052631579,0.6239215686274511,0.6297632479685975,0.6237143639865425,0.10827517509460449,4,"[2, 6, 7, 8]"
9,0.7368421052631579,0.7529411764705882,0.7444698703279939,0.7514691493021795,0.14149761199951172,4,"[1, 2, 6, 7]"
10,0.6842105263157895,0.7341176470588235,0.6921716054842989,0.7194769341845014,0.07811522483825684,4,"[1, 2, 6, 7]"
