fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7157692307692307,0.7220853858784894,0.7157567270432688,0.12956666946411133,2,"[2, 6]"
2,0.7532467532467533,0.7342307692307692,0.7565656835225302,0.7322252700869085,0.09968256950378418,2,"[2, 6]"
3,0.6623376623376623,0.6773076923076923,0.6729932059525326,0.6759608545789296,0.14656686782836914,2,"[2, 8]"
4,0.6103896103896104,0.6388461538461538,0.6221959858323495,0.6336706254344299,0.0993046760559082,2,"[2, 6]"
5,0.6883116883116883,0.7173076923076923,0.6981601731601732,0.7125253031944253,0.1415269374847412,2,"[2, 8]"
6,0.7402597402597403,0.7246153846153847,0.7446849446849447,0.723240570679579,0.12925028800964355,2,"[2, 6]"
7,0.7402597402597403,0.7473604826546003,0.7465229805655337,0.747040414970163,0.13853716850280762,2,"[2, 6]"
8,0.6578947368421053,0.6329411764705882,0.6635835620798026,0.6287241983947006,0.13126277923583984,2,"[2, 6]"
9,0.6578947368421053,0.6533333333333334,0.6669305324941113,0.6531972647421808,0.0966801643371582,2,"[2, 8]"
10,0.6842105263157895,0.6933333333333334,0.6933638443935927,0.6928203230275509,0.14809513092041016,2,"[2, 6]"
