fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7662337662337663,0.795990566037736,0.7746891406465873,0.7920596508887684,0.06528854370117188,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
2,0.7402597402597403,0.75,0.744949494949495,0.7491491772643939,0.1311485767364502,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
3,0.6753246753246753,0.6811594202898551,0.6882435705007598,0.6810052246069989,0.06425261497497559,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
4,0.7402597402597403,0.777122641509434,0.7498224076064188,0.7709342531250699,0.06000018119812012,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
5,0.8051948051948052,0.8090909090909092,0.8119441951537897,0.8090398349558906,0.059000253677368164,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
6,0.7012987012987013,0.7193877551020409,0.7069355417271012,0.7163236234605814,0.05882120132446289,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
7,0.7272727272727273,0.7215277777777778,0.7278384536811503,0.7207249436813217,0.05818057060241699,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
8,0.618421052631579,0.6525840853158326,0.6334609933072382,0.6468196949703036,0.06072807312011719,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
9,0.6710526315789473,0.6877104377104377,0.6860572483841182,0.6865715340592496,0.09849071502685547,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
10,0.7236842105263158,0.7635294117647058,0.7317464749406672,0.7545937746270389,0.11362218856811523,5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)]"
