fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6103896103896104,0.6318518518518519,0.6187840886883295,0.627753195192246,0.1490001678466797,2,"[2, 8]"
2,0.7012987012987013,0.7040816326530613,0.7064047064047064,0.7040076861494017,0.09675717353820801,2,"[2, 6]"
3,0.6233766233766234,0.6276923076923078,0.6350610433106467,0.6275716324421889,0.13100099563598633,2,"[2, 6]"
4,0.7142857142857143,0.6909090909090909,0.7231868131868132,0.6887526154500295,0.11171889305114746,2,"[1, 2]"
5,0.7142857142857143,0.7372448979591837,0.719562243502052,0.7324227936704636,0.14300966262817383,2,"[2, 6]"
6,0.5974025974025974,0.5946969696969697,0.5990500548045306,0.5943953104828191,0.11300349235534668,2,"[2, 6]"
7,0.7402597402597403,0.7574074074074074,0.7461219336219337,0.7552286874651746,0.11674785614013672,2,"[2, 6]"
8,0.7272727272727273,0.7021929824561404,0.738661219472514,0.7002505817155616,0.17264676094055176,2,"[1, 2]"
9,0.6973684210526315,0.7093189964157705,0.6997364302775718,0.7063460420946632,0.12900424003601074,2,"[2, 6]"
10,0.7105263157894737,0.7256235827664399,0.7166940789473685,0.7237468644557459,0.14000463485717773,2,"[2, 6]"
